1,20912,1,20779,5054765,525397,524472,4004896
1,20913,1,20777,5057521,525435,524516,4007570
1,20914,1,20720,5081929,525397,524402,4032130
1,20915,1,20767,5068695,525397,524770,4018528
1,20916,1,20679,5081382,525397,524416,4031569
2,20917,1,28376,10389441,525435,1048717,8815289
2,20918,1,28208,10407721,525397,1048755,8833569
2,20919,1,28397,10412430,525397,1048803,8838230
2,20920,1,28327,10395771,525435,1048749,8821587
2,20921,1,28257,10410309,525397,1048983,8835929
3,20922,1,31122,16015837,525397,1573138,13917302
3,20923,1,31116,16011979,525397,1573382,13913200
3,20924,1,31178,16006256,525397,1573068,13907791
3,20925,1,31174,16020478,525435,1573567,13921476
3,20926,1,31191,16011007,525435,1573520,13912052
4,20927,1,32162,21787203,525397,2097458,19164348
4,20928,1,32180,21757629,525397,2098232,19134000
4,20929,1,32167,21771007,525397,2097588,19148022
4,20930,1,32126,21777495,525397,2097550,19154548
4,20931,1,32148,21774967,525397,2097550,19152020
5,20932,1,32574,27573013,525397,2621894,24425722
5,20933,1,32528,27565989,525397,2622116,24418476
5,20934,1,32568,27552914,525397,2621767,24405750
5,20935,1,32551,27561765,525435,2621724,24414606
5,20936,1,32582,27554703,525397,2621860,24407446
