{unroll_fact}_{algo_trigger_point}_{error_corr_iterations}_{other_blocks_previous}   {arr_size}
16_128_12_326 259264
16_128_1_326 259264
16_128_3_326 259264
16_128_6_326 259264
16_128_9_326 259264
16_8_4_326 259264
16_16_5_326 259264
16_32_6_327 259256
16_64_9_326 259264
16_256_25_326 259264
16_512_98_326 259264
16_16_3_31 261624
16_32_3_31 261624
16_64_4_31 261624
16_128_4_31 261624
16_256_5_31 261624
16_512_9_31 261624
16_8_3_31 261624
