bit_position,bit_interval,receiver_interval,sender_interval
0,249664,249497,167
1,252145,251455,690
2,249575,249474,101
3,251898,251365,533
4,251765,251232,533
5,249596,249495,101
6,251831,251255,576
7,251678,251108,570
8,251852,251233,619
9,249602,249501,101
10,251540,250970,570
11,251799,251065,734
12,251756,251200,556
13,251788,251252,536
14,251805,251251,554
15,251612,251076,536
16,249572,249457,115
17,251532,250976,556
18,249579,249478,101
19,249571,249470,101
20,249532,249456,76
21,251656,251093,563
22,251621,251050,571
23,249561,249460,101
24,251514,250936,578
25,251621,251085,536
26,251617,251081,536
27,251592,251059,533
28,249554,249453,101
29,249599,249498,101
30,251693,251106,587
31,249558,249457,101
32,251637,251059,578
33,249600,249499,101
34,251633,251052,581
35,251645,251069,576
36,249548,249447,101
37,249603,249502,101
38,251646,251087,559
39,251606,251046,560
40,249579,249463,116
41,249595,249494,101
42,251636,251077,559
43,251501,250963,538
44,249549,249448,101
45,251525,250989,536
46,249588,249487,101
47,249566,249465,101
48,251661,251051,610
49,251631,251095,536
50,251599,251045,554
51,249568,249467,101
52,251585,251050,535
53,251463,250931,532
54,251476,250906,570
55,249567,249466,101
56,251491,250917,574
57,249590,249489,101
58,249589,249488,101
59,249542,249466,76
60,249534,249458,76
61,251551,250947,604
62,251361,250788,573
63,251456,250911,545
64,251453,250887,566
65,251371,250834,537
66,249592,249491,101
67,251486,250910,576
68,251441,250873,568
69,251483,250913,570
70,249577,249476,101
71,251474,250906,568
72,251477,250909,568
73,251490,250940,550
74,249588,249487,101
75,251435,250902,533
76,249558,249457,101
77,251478,250945,533
78,249578,249477,101
79,249569,249468,101
80,249549,249458,91
81,249576,249500,76
82,251496,250921,575
83,249531,249455,76
84,249535,249459,76
85,251496,250937,559
86,249558,249482,76
87,249546,249470,76
88,251351,250773,578
89,251459,250900,559
90,251164,250611,553
91,249556,249455,101
92,249560,249459,101
93,249576,249500,76
94,251523,250926,597
95,251465,250896,569
96,249568,249452,116
97,249577,249501,76
98,251469,250906,563
99,251480,250903,577
100,249562,249461,101
101,251507,250944,563
102,251451,250916,535
103,249569,249468,101
104,251417,250868,549
105,249602,249501,101
106,251456,250920,536
107,251482,250910,572
108,249564,249463,101
109,249595,249494,101
110,249563,249487,76
111,251485,250892,593
112,249540,249449,91
113,251523,250944,579
114,249562,249486,76
115,251520,250916,604
116,249536,249460,76
117,251478,250915,563
118,249564,249488,76
119,249542,249466,76
120,249549,249458,91
121,251512,250949,563
122,249561,249485,76
123,249540,249464,76
124,249534,249458,76
125,251336,250776,560
126,249563,249487,76
127,249579,249503,76
128,249538,249462,76
129,251841,251281,560
130,251837,251274,563
131,251758,251182,576
132,249566,249465,101
133,251797,251221,576
134,251425,250876,549
135,249546,249445,101
136,251498,250962,536
137,249567,249466,101
138,251658,251113,545
139,249563,249462,101
140,249561,249460,101
141,249542,249466,76
142,249612,249521,91
143,249529,249453,76
144,249546,249470,76
145,249542,249466,76
146,249598,249522,76
147,249536,249460,76
148,249531,249455,76
149,251675,251072,603
150,249610,249519,91
151,249529,249453,76
152,251507,250947,560
153,251657,251062,595
154,249624,249523,101
155,251613,251028,585
156,249557,249456,101
157,251653,251065,588
158,251660,251114,546
159,249559,249458,101
160,249569,249468,101
161,251632,251051,581
162,251655,251111,544
163,249559,249458,101
164,249562,249461,101
165,249544,249468,76
166,249610,249519,91
167,251637,251074,563
168,249543,249467,76
169,249533,249457,76
170,249601,249525,76
171,249534,249458,76
172,251625,251062,563
173,249544,249468,76
174,249601,249510,91
175,249534,249458,76
176,251649,251070,579
177,249534,249458,76
178,251728,251131,597
179,249532,249456,76
180,251624,251062,562
181,251605,251045,560
182,249626,249510,116
183,249536,249460,76
184,251594,251035,559
185,249542,249466,76
186,249600,249524,76
187,251604,251041,563
188,251423,250835,588
189,251595,251059,536
190,249628,249512,116
191,251576,251041,535
192,251574,251038,536
