bit_position,bit_interval,receiver_interval,sender_interval
0,249609,249442,167
1,252051,251361,690
2,249501,249400,101
3,251886,251330,556
4,249504,249403,101
5,249541,249440,101
6,251927,251348,579
7,251818,251286,532
8,251788,251207,581
9,251870,251314,556
10,249503,249402,101
11,249514,249413,101
12,249479,249403,76
13,251938,251376,562
14,249512,249436,76
15,251886,251307,579
16,251794,251191,603
17,249512,249411,101
18,249480,249404,76
19,251883,251323,560
20,249477,249401,76
21,251836,251273,563
22,249509,249433,76
23,249476,249400,76
24,249496,249405,91
25,251905,251320,585
26,251894,251323,571
27,251769,251212,557
28,249498,249397,101
29,251726,251174,552
30,251757,251197,560
31,249503,249402,101
32,251645,251057,588
33,251703,251167,536
34,251692,251147,545
35,251751,251181,570
36,251694,251138,556
37,251644,251076,568
38,249533,249432,101
39,251741,251171,570
40,251724,251150,574
41,251724,251152,572
42,251559,251007,552
43,251373,250837,536
44,249493,249392,101
45,249549,249448,101
46,249508,249432,76
47,249487,249411,76
48,249496,249405,91
49,249479,249403,76
50,249488,249412,76
51,249487,249411,76
52,251533,250974,559
53,249524,249448,76
54,251475,250912,563
55,251570,251010,560
56,249521,249405,116
57,249476,249400,76
58,251596,251015,581
59,251526,250922,604
60,249504,249403,101
61,249524,249448,76
62,249500,249424,76
63,249487,249411,76
64,251603,250985,618
65,249478,249402,76
66,249489,249413,76
67,251582,250995,587
68,249479,249403,76
69,251581,251021,560
70,249497,249421,76
71,251611,251014,597
72,249494,249403,91
73,249487,249411,76
74,251555,250992,563
75,249483,249407,76
76,249481,249405,76
77,251486,250923,563
78,251563,251000,563
79,249514,249413,101
80,251572,250995,577
81,251411,250875,536
82,249516,249415,101
83,251565,250993,572
84,251567,251014,553
85,249546,249445,101
86,249528,249427,101
87,249491,249415,76
88,251579,250985,594
89,249487,249411,76
90,249485,249409,76
91,251441,250882,559
92,249481,249405,76
93,249521,249445,76
94,251462,250875,587
95,251438,250834,604
96,251415,250825,590
97,251403,250827,576
98,251392,250840,552
99,251378,250845,533
100,249510,249409,101
101,251420,250884,536
102,251381,250845,536
103,251367,250831,536
104,249508,249392,116
105,249513,249412,101
106,251402,250843,559
107,251401,250866,535
108,249509,249408,101
109,249540,249439,101
110,249508,249432,76
111,251410,250847,563
112,249484,249393,91
113,249488,249412,76
114,249486,249410,76
115,251425,250844,581
116,249481,249405,76
117,249510,249434,76
118,249509,249433,76
119,249487,249411,76
120,249494,249403,91
121,249491,249415,76
122,251411,250848,563
123,249489,249413,76
124,249479,249403,76
125,251272,250709,563
126,251266,250706,560
127,251789,251256,533
128,251826,251290,536
129,251743,251207,536
130,249507,249406,101
131,251742,251166,576
132,249510,249409,101
133,251710,251174,536
134,251719,251137,582
135,249491,249390,101
136,251697,251161,536
137,251580,251044,536
138,249512,249411,101
139,251755,251183,572
140,249506,249405,101
141,251626,251065,561
142,249582,249466,116
143,249499,249398,101
144,249491,249415,76
145,251508,250913,595
146,251585,251022,563
147,251528,250996,532
148,249501,249400,101
149,249512,249411,101
150,249557,249466,91
151,251535,250973,562
152,249490,249414,76
153,251582,251001,581
154,251569,251009,560
155,249504,249403,101
156,251568,251005,563
157,251436,250882,554
158,251413,250847,566
159,251405,250835,570
160,249514,249413,101
161,249501,249400,101
162,251428,250831,597
163,249504,249403,101
164,251394,250835,559
165,251360,250824,536
166,251467,250901,566
167,251393,250839,554
168,249514,249413,101
169,249505,249404,101
170,251181,250593,588
171,249504,249403,101
172,249487,249411,76
173,249491,249415,76
174,251130,250555,575
175,249479,249403,76
176,251091,250531,560
177,249478,249402,76
178,249491,249415,76
179,251011,250414,597
180,250975,250415,560
181,251063,250526,537
182,249571,249455,116
183,249506,249405,101
184,250954,250391,563
185,249512,249411,101
186,251072,250510,562
187,249498,249397,101
188,249487,249411,76
189,250934,250375,559
190,251026,250414,612
191,249508,249407,101
192,250921,250358,563
193,249510,249409,101
194,250677,250098,579
195,250762,250192,570
196,249513,249412,101
197,250746,250210,536
198,249577,249461,116
199,249509,249408,101
200,249481,249405,76
201,249487,249411,76
202,249487,249411,76
203,249470,249394,76
204,250780,250201,579
205,250759,250196,563
206,249582,249466,116
207,250497,249934,563
208,249504,249403,101
209,249488,249412,76
210,249487,249411,76
211,250593,250030,563
212,250603,250043,560
213,249510,249409,101
214,250694,250116,578
215,249505,249404,101
216,249476,249400,76
217,250609,250046,563
218,249487,249411,76
219,250596,250033,563
220,249490,249414,76
221,250617,250030,587
222,249558,249467,91
223,249479,249403,76
224,249478,249402,76
225,249491,249415,76
226,250612,250033,579
227,250526,249929,597
228,249512,249411,101
229,249476,249400,76
230,250682,250104,578
231,250609,250046,563
232,249512,249411,101
233,249489,249413,76
234,250623,250060,563
235,250429,249870,559
236,249512,249411,101
237,250448,249885,563
238,250496,249946,550
239,249503,249402,101
240,249510,249409,101
241,249491,249415,76
242,249476,249400,76
243,249480,249404,76
244,250487,249890,597
245,249482,249406,76
246,250533,249955,578
247,250461,249864,597
248,250421,249885,536
249,249512,249411,101
250,249503,249402,101
251,250441,249878,563
252,250426,249890,536
253,249512,249411,101
254,249573,249472,101
255,251784,251221,563
256,249509,249408,101
257,249481,249405,76
258,249487,249411,76
259,249487,249411,76
260,249485,249394,91
261,249534,249458,76
262,249486,249410,76
263,251881,251319,562
264,249481,249405,76
265,249477,249401,76
266,249487,249411,76
267,249485,249409,76
268,249494,249403,91
269,249535,249459,76
270,249485,249409,76
271,251917,251338,579
272,249479,249403,76
273,251879,251316,563
274,251927,251324,603
275,249512,249411,101
276,251887,251309,578
277,251822,251266,556
278,249501,249400,101
279,251898,251338,560
280,251696,251161,535
281,251706,251146,560
282,251579,251043,536
283,251570,251000,570
284,249519,249403,116
285,249555,249454,101
286,251717,251146,571
287,251708,251172,536
288,249505,249404,101
289,249511,249410,101
290,251554,250991,563
291,251538,251000,538
292,251426,250877,549
293,249614,249513,101
294,249584,249483,101
295,249558,249482,76
296,249536,249460,76
297,251471,250912,559
298,251484,250887,597
299,251334,250798,536
300,251443,250897,546
301,249613,249512,101
302,251462,250926,536
303,251371,250803,568
304,251418,250882,536
305,251463,250888,575
306,251431,250896,535
307,249558,249457,101
308,249578,249462,116
309,251510,250947,563
310,251467,250931,536
311,249579,249478,101
312,251412,250876,536
313,251288,250752,536
314,249566,249465,101
315,249566,249465,101
316,249551,249460,91
317,251386,250789,597
318,249566,249490,76
319,249554,249478,76
320,251270,250707,563
321,251217,250613,604
322,251169,250633,536
323,251212,250642,570
324,251288,250739,549
325,251232,250676,556
326,249589,249488,101
327,251156,250620,536
328,251263,250727,536
329,249570,249469,101
330,249564,249463,101
331,249546,249470,76
332,249548,249457,91
333,249578,249502,76
334,249568,249492,76
335,249552,249476,76
336,249533,249457,76
337,251193,250589,604
338,251176,250589,587
339,249566,249465,101
340,251164,250586,578
341,249609,249508,101
342,249568,249492,76
343,251136,250573,563
344,250978,250415,563
345,250847,250314,533
346,249555,249454,101
347,249567,249466,101
348,250870,250276,594
349,251014,250478,536
350,250882,250346,536
351,251012,250440,572
352,250991,250415,576
353,249566,249465,101
354,250962,250409,553
355,249569,249468,101
356,249573,249457,116
357,249590,249514,76
358,249567,249491,76
359,249541,249465,76
360,250842,250279,563
361,250989,250426,563
362,250953,250417,536
363,250956,250420,536
364,249571,249455,116
365,251019,250483,536
366,250978,250445,533
367,250965,250429,536
368,250944,250412,532
369,250981,250411,570
370,249566,249465,101
371,249569,249468,101
372,250756,250178,578
373,249614,249513,101
374,249564,249488,76
375,249547,249471,76
376,250902,250298,604
377,249539,249463,76
378,249546,249470,76
379,249541,249465,76
380,251004,250402,602
381,249538,249462,76
382,249489,249413,76
383,251787,251224,563
384,251780,251217,563
385,249513,249412,101
386,251803,251209,594
387,249516,249415,101
388,251840,251253,587
389,249512,249411,101
390,249491,249415,76
391,249476,249400,76
392,249490,249414,76
393,251888,251328,560
394,249493,249402,91
395,251867,251305,562
396,249519,249443,76
397,249487,249411,76
398,251921,251317,604
399,251895,251316,579
400,249515,249414,101
401,251785,251223,562
402,251879,251320,559
403,249515,249414,101
404,249542,249441,101
405,249487,249411,76
406,249487,249411,76
407,251734,251172,562
408,251912,251315,597
409,251744,251208,536
410,251875,251329,546
411,249514,249413,101
412,249537,249436,101
413,249488,249412,76
414,251867,251307,560
415,249482,249406,76
416,249495,249419,76
417,249481,249405,76
418,251893,251316,577
419,251889,251326,563
420,251879,251325,554
421,251648,251112,536
422,249514,249413,101
423,251858,251298,560
424,249517,249416,101
425,249504,249403,101
426,251944,251342,602
427,249512,249411,101
428,249518,249442,76
429,251764,251205,559
430,249485,249409,76
431,251875,251312,563
432,251802,251213,589
433,249502,249401,101
434,249505,249414,91
435,251879,251308,571
436,249523,249447,76
437,249490,249414,76
438,249479,249403,76
439,249487,249411,76
440,251916,251337,579
441,251873,251296,577
442,249531,249415,116
443,251883,251324,559
444,249548,249447,101
445,251754,251151,603
446,251681,251145,536
447,251747,251177,570
448,251716,251180,536
449,249512,249411,101
450,249529,249413,116
451,249483,249407,76
452,249524,249448,76
453,251755,251174,581
454,251708,251146,562
455,251719,251174,545
456,249516,249415,101
457,249512,249411,101
458,251756,251179,577
459,249501,249400,101
460,249524,249448,76
461,251750,251179,571
462,249482,249406,76
463,251776,251173,603
464,251745,251176,569
465,251718,251162,556
466,249527,249411,116
467,251724,251168,556
468,251746,251210,536
469,249511,249410,101
470,251556,250988,568
471,251476,250900,576
472,251445,250901,544
473,249513,249412,101
474,251601,251011,590
475,249507,249406,101
476,251374,250814,560
477,249511,249410,101
478,251567,251000,567
479,251548,251012,536
480,251535,250995,540
481,251562,251026,536
482,249525,249409,116
483,251303,250742,561
484,251295,250758,537
485,249506,249405,101
486,249512,249411,101
487,251414,250851,563
488,249506,249405,101
489,249490,249414,76
490,251356,250754,602
491,251432,250844,588
492,249553,249452,101
493,251416,250856,560
494,251363,250822,541
495,251279,250746,533
496,251429,250857,572
497,251367,250835,532
498,249525,249409,116
499,251390,250844,546
500,249547,249446,101
501,251378,250842,536
502,249513,249412,101
503,251373,250837,536
504,249514,249413,101
505,249513,249412,101
506,249491,249400,91
507,251195,250623,572
508,249542,249466,76
509,249478,249402,76
510,251773,251196,577
511,249441,249404,37
