bit_position,bit_interval,receiver_interval,sender_interval
0,250379,250212,167
1,252810,252120,690
2,250262,250161,101
3,250282,250181,101
4,250249,250173,76
5,250252,250176,76
6,252202,251615,587
7,252491,251932,559
8,250315,250173,142
9,250258,250182,76
10,252417,251822,595
11,250259,250183,76
12,250249,250173,76
13,252494,251890,604
14,252231,251669,562
15,252115,251577,538
16,250289,250173,116
17,252045,251509,536
18,252007,251467,540
19,250287,250186,101
20,251858,251322,536
21,251984,251448,536
22,250283,250182,101
23,251998,251446,552
24,252054,251472,582
25,252022,251454,568
26,250266,250165,101
27,250285,250184,101
28,251998,251435,563
29,251989,251456,533
30,251877,251341,536
31,250273,250172,101
32,250293,250177,116
33,252021,251458,563
34,250282,250181,101
35,252031,251468,563
36,251980,251448,532
37,250283,250182,101
38,252016,251456,560
39,250261,250160,101
40,250294,250178,116
41,250244,250168,76
42,252023,251463,560
43,252024,251461,563
44,251979,251443,536
45,251918,251342,576
46,251974,251442,532
47,250282,250181,101
48,252025,251459,566
49,251993,251448,545
50,252029,251469,560
51,252005,251469,536
52,251964,251428,536
53,250286,250185,101
54,250314,250213,101
55,251913,251318,595
56,252045,251471,574
57,251984,251448,536
58,250283,250182,101
59,250282,250181,101
60,250249,250173,76
61,250260,250184,76
62,251856,251294,562
63,251866,251303,563
64,251880,251292,588
65,250257,250156,101
66,251716,251144,572
67,250314,250213,101
68,250274,250173,101
69,251692,251129,563
70,251667,251131,536
71,251669,251133,536
72,251579,251033,546
73,250282,250181,101
74,251682,251146,536
75,251657,251121,536
76,251655,251119,536
77,250282,250181,101
78,251543,251010,533
79,250284,250183,101
80,251607,251021,586
81,251725,251149,576
82,250294,250193,101
83,250271,250170,101
84,251720,251116,604
85,250282,250181,101
86,251692,251129,563
87,251718,251146,572
88,251561,251011,550
89,250282,250181,101
90,250282,250181,101
91,251684,251121,563
92,251675,251107,568
93,250302,250201,101
94,250282,250181,101
95,251718,251155,563
96,250283,250167,116
97,250258,250182,76
98,251711,251124,587
99,250252,250176,76
100,251711,251149,562
101,251741,251137,604
102,250282,250181,101
103,250259,250183,76
104,251698,251120,578
105,251616,251021,595
106,250301,250200,101
107,250257,250181,76
108,250262,250186,76
109,250251,250175,76
110,250257,250181,76
111,250257,250181,76
112,250255,250164,91
113,250260,250184,76
114,250256,250180,76
115,250257,250181,76
116,251673,251110,563
117,251690,251127,563
118,251688,251152,536
119,250301,250200,101
120,251665,251115,550
121,250286,250185,101
122,251674,251138,536
123,250282,250181,101
124,250274,250173,101
125,251715,251127,588
126,250283,250182,101
127,252691,252130,561
128,252535,251983,552
129,250269,250168,101
130,252321,251785,536
131,250276,250175,101
132,250282,250181,101
133,252635,252072,563
134,252632,252082,550
135,252536,252004,532
136,250282,250181,101
137,250274,250173,101
138,252604,252007,597
139,252503,251933,570
140,252657,252085,572
141,252519,251962,557
142,252669,252087,582
143,252661,252092,569
144,250280,250179,101
145,250274,250173,101
146,252719,252124,595
147,250273,250172,101
148,252672,252099,573
149,250274,250173,101
150,250256,250165,91
151,250261,250185,76
152,252620,252061,559
153,250249,250173,76
154,250257,250181,76
155,252530,251933,597
156,252472,251910,562
157,252461,251907,554
158,250297,250181,116
159,250283,250182,101
160,252265,251700,565
161,252354,251797,557
162,250282,250181,101
163,252478,251937,541
164,250285,250184,101
165,250261,250160,101
166,252506,251926,580
167,252500,251967,533
168,252354,251818,536
169,252455,251919,536
170,250282,250181,101
171,252462,251926,536
172,252523,251953,570
173,250263,250162,101
174,252518,251952,566
175,250282,250181,101
176,252086,251546,540
177,252361,251789,572
178,252339,251767,572
179,252193,251657,536
180,250298,250197,101
181,252303,251770,533
182,250300,250184,116
183,250282,250181,101
184,250257,250181,76
185,252317,251757,560
186,252329,251766,563
187,252287,251753,534
188,252299,251764,535
189,250253,250152,101
190,250301,250185,116
191,250289,250213,76
192,250257,250181,76
193,252347,251784,563
194,250246,250170,76
195,250258,250182,76
196,252357,251778,579
197,252130,251567,563
198,250300,250184,116
199,252377,251780,597
200,252334,251762,572
201,252285,251749,536
202,252291,251756,535
203,250286,250185,101
204,252365,251809,556
205,252153,251617,536
206,250307,250191,116
207,252134,251600,534
208,250283,250182,101
209,252142,251606,536
210,252150,251615,535
211,251894,251361,533
212,252006,251438,568
213,251983,251447,536
214,252049,251465,584
215,251975,251443,532
216,251873,251337,536
217,250294,250193,101
218,251979,251443,536
219,252002,251466,536
220,250271,250170,101
221,250275,250174,101
222,250272,250181,91
223,251841,251278,563
224,250261,250185,76
225,250245,250169,76
226,250257,250181,76
227,250257,250181,76
228,250246,250170,76
229,251842,251279,563
230,250292,250201,91
231,250257,250181,76
232,250268,250192,76
233,250243,250167,76
234,250258,250182,76
235,251684,251121,563
236,251730,251133,597
237,250277,250176,101
238,250271,250180,91
239,250257,250181,76
240,251712,251149,563
241,250238,250162,76
242,251702,251139,563
243,251708,251145,563
244,251702,251142,560
245,250287,250186,101
246,250291,250175,116
247,250257,250181,76
248,251707,251144,563
249,251710,251115,595
250,250285,250184,101
251,250256,250180,76
252,250257,250181,76
253,251677,251114,563
254,252600,252037,563
255,252629,252085,544
256,250274,250173,101
257,252443,251873,570
258,250273,250172,101
259,250284,250183,101
260,250264,250173,91
261,252488,251926,562
262,252257,251694,563
263,252482,251912,570
264,250274,250173,101
265,250282,250181,101
266,250248,250172,76
267,250262,250186,76
268,252495,251917,578
269,250257,250181,76
270,252487,251928,559
271,250246,250170,76
272,250251,250175,76
273,252018,251439,579
274,252344,251759,585
275,250285,250184,101
276,252338,251761,577
277,252304,251766,538
278,252233,251697,536
279,252174,251597,577
280,252147,251615,532
281,252030,251494,536
282,252126,251593,533
283,250285,250184,101
284,252140,251590,550
285,252156,251624,532
286,252179,251609,570
287,250261,250160,101
288,252164,251628,536
289,250269,250168,101
290,250282,250181,101
291,250273,250197,76
292,252215,251596,619
293,250260,250184,76
294,251821,251258,563
295,250257,250181,76
296,250251,250175,76
297,252226,251629,597
298,252184,251622,562
299,252131,251596,535
300,250268,250152,116
301,250286,250185,101
302,250289,250213,76
303,250257,250181,76
304,250267,250191,76
305,250246,250170,76
306,250258,250182,76
307,250257,250181,76
308,252216,251604,612
309,252173,251611,562
310,250274,250173,101
311,252196,251617,579
312,252135,251599,536
313,251997,251465,532
314,252153,251617,536
315,252173,251637,536
316,250289,250173,116
317,250292,250191,101
318,251947,251344,603
319,250283,250182,101
320,252016,251456,560
321,251878,251342,536
322,250284,250183,101
323,250278,250177,101
324,252047,251437,610
325,250282,250181,101
326,250232,250156,76
327,250259,250183,76
328,250269,250193,76
329,252009,251446,563
330,251953,251366,587
331,250271,250170,101
332,250265,250174,91
333,252022,251462,560
334,252065,251462,603
335,250286,250185,101
336,250245,250169,76
337,252059,251456,603
338,250257,250181,76
339,252007,251444,563
340,250266,250175,91
341,252040,251477,563
342,250257,250181,76
343,252037,251477,560
344,251853,251294,559
345,250283,250182,101
346,250257,250181,76
347,250252,250176,76
348,250267,250176,91
349,251892,251305,587
350,251876,251297,579
351,251867,251307,560
352,250263,250162,101
353,250283,250182,101
354,250276,250200,76
355,250257,250181,76
356,251862,251288,574
357,251869,251306,563
358,251840,251307,533
359,251845,251291,554
360,251858,251292,566
361,251869,251297,572
362,251838,251302,536
363,251837,251302,535
364,250291,250175,116
365,251790,251253,537
366,250283,250182,101
367,251616,251083,533
368,250274,250173,101
369,251878,251302,576
370,250280,250179,101
371,251702,251166,536
372,251646,251064,582
373,251818,251285,533
374,251721,251185,536
375,251847,251311,536
376,251808,251272,536
377,251685,251153,532
378,251677,251101,576
379,251674,251138,536
380,250292,250176,116
381,252651,252115,536
382,252618,252083,535
383,252665,252089,576
384,252658,252104,554
385,252660,252090,570
386,252659,252093,566
387,250269,250168,101
388,250282,250181,101
389,252667,252104,563
390,250269,250168,101
391,252703,252099,604
392,252594,252064,530
393,250282,250181,101
394,252537,251971,566
395,252651,252099,552
396,252522,251990,532
397,252602,252066,536
398,252633,252098,535
399,250284,250183,101
400,252302,251750,552
401,252496,251936,560
402,252491,251945,546
403,252478,251938,540
404,250285,250184,101
405,252213,251677,536
406,250274,250173,101
407,250283,250182,101
408,250248,250172,76
409,250259,250183,76
410,252372,251770,602
411,252326,251766,560
412,252213,251673,540
413,252313,251741,572
414,252118,251549,569
415,250282,250181,101
416,250273,250172,101
417,252349,251786,563
418,252118,251568,550
419,252292,251756,536
420,250283,250182,101
421,252294,251759,535
422,252314,251778,536
423,252338,251782,556
424,252197,251629,568
425,250285,250184,101
426,252312,251763,549
427,252181,251609,572
428,252034,251462,572
429,250273,250172,101
430,250278,250177,101
431,252185,251625,560
432,252126,251592,534
433,251980,251444,536
434,252021,251449,572
435,252008,251440,568
436,252047,251471,576
437,250261,250160,101
438,250279,250178,101
439,250244,250168,76
440,252053,251456,597
441,250273,250197,76
442,252021,251443,578
443,250260,250184,76
444,251913,251351,562
445,250257,250181,76
446,251999,251436,563
447,250249,250173,76
448,251863,251294,569
449,250257,250181,76
450,251839,251261,578
451,251665,251062,603
452,250314,250213,101
453,251736,251173,563
454,251840,251304,536
455,250271,250170,101
456,251828,251292,536
457,251834,251297,537
458,251869,251279,590
459,250285,250184,101
460,250274,250173,101
461,251863,251300,563
462,251832,251296,536
463,250257,250156,101
464,250286,250185,101
465,250289,250213,76
466,250264,250173,91
467,250267,250191,76
468,251830,251271,559
469,251896,251293,603
470,250274,250173,101
471,251900,251296,604
472,250284,250183,101
473,251730,251171,559
474,250289,250173,116
475,250257,250181,76
476,251843,251281,562
477,251913,251326,587
478,251700,251139,561
479,251641,251109,532
480,251675,251139,536
481,251664,251129,535
482,251696,251108,588
483,251689,251157,532
484,250277,250176,101
485,251702,251134,568
486,250270,250169,101
487,250282,250181,101
488,250257,250181,76
489,250246,250170,76
490,251627,251025,602
491,250277,250201,76
492,251707,251144,563
493,251760,251156,604
494,251655,251119,536
495,250283,250182,101
496,250282,250181,101
497,250252,250176,76
498,250267,250176,91
499,250256,250180,76
500,251698,251134,564
501,251716,251153,563
502,250263,250162,101
503,250258,250182,76
504,250276,250200,76
505,250257,250181,76
506,251752,251134,618
507,251750,251146,604
508,250337,250236,101
509,250249,250173,76
510,252514,251952,562
511,250198,250161,37
