bit_position,bit_interval,receiver_interval,sender_interval
0,250248,250081,167
1,252707,252017,690
2,252270,251738,532
3,252361,251817,544
4,252327,251794,533
5,250138,250037,101
6,250140,250039,101
7,250092,250016,76
8,252417,251788,629
9,250114,250038,76
10,252250,251669,581
11,250122,250046,76
12,252236,251655,581
13,252264,251676,588
14,252208,251638,570
15,250106,250005,101
16,250162,250046,116
17,250105,250029,76
18,250083,250007,76
19,252251,251663,588
20,252187,251624,563
21,250151,250050,101
22,250118,250042,76
23,252010,251450,560
24,250135,250044,91
25,251955,251360,595
26,252067,251464,603
27,250154,250053,101
28,250099,250023,76
29,250126,250050,76
30,251925,251344,581
31,252040,251442,598
32,251851,251261,590
33,251881,251349,532
34,251899,251363,536
35,251860,251328,532
36,250119,250018,101
37,251859,251323,536
38,250138,250037,101
39,251824,251288,536
40,250169,250053,116
41,250132,250031,101
42,250092,250016,76
43,250136,250060,76
44,250094,250018,76
45,251896,251333,563
46,250123,250047,76
47,250092,250016,76
48,250135,250044,91
49,250103,250027,76
50,250093,250017,76
51,250126,250050,76
52,251854,251291,563
53,250130,250054,76
54,251870,251311,559
55,251890,251287,603
56,251755,251189,566
57,251856,251320,536
58,250116,250015,101
59,250151,250050,101
60,251871,251294,577
61,250154,250053,101
62,251762,251203,559
63,251803,251268,535
64,250162,250046,116
65,250129,250028,101
66,251878,251315,563
67,250153,250052,101
68,250105,250029,76
69,251919,251324,595
70,250102,250026,76
71,250093,250017,76
72,251901,251323,578
73,250113,250037,76
74,250094,250018,76
75,250122,250046,76
76,250109,250033,76
77,250126,250050,76
78,251736,251139,597
79,250098,250022,76
80,251742,251156,586
81,251761,251164,597
82,250125,250024,101
83,250115,250039,76
84,250106,250030,76
85,251746,251167,579
86,251597,251034,563
87,251573,251037,536
88,250154,250038,116
89,251727,251155,572
90,251701,251131,570
91,251699,251166,533
92,251589,251035,554
93,250151,250050,101
94,251699,251164,535
95,251668,251133,535
96,250152,250036,116
97,250154,250053,101
98,250092,250016,76
99,251730,251135,595
100,251739,251144,595
101,250150,250049,101
102,251724,251137,587
103,251683,251127,556
104,250147,250031,116
105,250139,250038,101
106,251605,251042,563
107,251758,251182,576
108,251678,251142,536
109,250141,250040,101
110,250138,250037,101
111,251681,251119,562
112,250145,250029,116
113,251744,251157,587
114,251507,250971,536
115,251581,251011,570
116,250132,250031,101
117,250140,250039,101
118,250110,250034,76
119,251537,250974,563
120,251458,250880,578
121,251523,250987,536
122,251531,250975,556
123,251438,250902,536
124,250130,250029,101
125,250142,250041,101
126,250114,250038,76
127,252429,251866,563
128,252521,251917,604
129,252447,251891,556
130,250109,250008,101
131,250112,250011,101
132,250157,250081,76
133,252353,251764,589
134,252382,251807,575
135,250117,250016,101
136,252205,251634,571
137,250173,250072,101
138,252311,251747,564
139,250117,250016,101
140,252420,251837,583
141,252329,251791,538
142,252280,251696,584
143,252315,251782,533
144,252183,251650,533
145,252285,251725,560
146,250109,250008,101
147,250123,250022,101
148,250154,250078,76
149,250081,250005,76
150,252432,251836,596
151,252339,251776,563
152,250117,250016,101
153,250161,250085,76
154,250078,250002,76
155,250092,250016,76
156,252439,251836,603
157,250083,250007,76
158,250158,250067,91
159,250090,250014,76
160,250092,250016,76
161,252365,251801,564
162,250071,249995,76
163,252331,251734,597
164,250147,250071,76
165,252326,251766,560
166,250157,250066,91
167,250090,250014,76
168,252190,251631,559
169,250147,250071,76
170,252166,251604,562
171,252191,251618,573
172,252208,251672,536
173,251977,251444,533
174,252043,251496,547
175,250106,250005,101
176,251979,251443,536
177,252086,251516,570
178,250104,250003,101
179,251989,251453,536
180,250171,250070,101
181,251982,251446,536
182,250179,250063,116
183,250107,250006,101
184,252054,251473,581
185,250172,250071,101
186,250090,250014,76
187,252043,251448,595
188,250141,250065,76
189,250098,250022,76
190,250154,250063,91
191,250087,250011,76
192,250100,250024,76
193,251909,251347,562
194,251850,251287,563
195,251836,251301,535
196,251903,251343,560
197,250118,250017,101
198,250179,250063,116
199,250092,250016,76
200,251895,251298,597
201,250149,250073,76
202,250084,250008,76
203,250092,250016,76
204,250146,250070,76
205,250094,250018,76
206,250154,250063,91
207,251900,251302,598
208,250093,250017,76
209,250136,250060,76
210,251722,251162,560
211,251859,251297,562
212,251865,251329,536
213,250141,250040,101
214,250177,250061,116
215,251895,251302,593
216,250137,250036,101
217,251789,251185,604
218,250110,250009,101
219,251682,251120,562
220,250172,250071,101
221,251682,251119,563
222,251700,251150,550
223,250117,250016,101
224,251677,251142,535
225,250162,250061,101
226,250115,250014,101
227,250090,250014,76
228,250142,250066,76
229,250092,250016,76
230,250143,250052,91
231,250093,250017,76
232,251557,250995,562
233,251745,251182,563
234,251540,250986,554
235,250111,250010,101
236,250172,250071,101
237,251705,251142,563
238,251725,251175,550
239,251654,251118,536
240,251657,251121,536
241,251729,251197,532
242,251687,251117,570
243,251532,250996,536
244,251599,251023,576
245,251559,250991,568
246,251477,250893,584
247,251499,250963,536
248,251502,250966,536
249,250164,250063,101
250,251503,250967,536
251,251381,250845,536
252,251575,251039,536
253,250117,250016,101
254,250173,250072,101
255,252379,251816,563
256,250158,250057,101
257,250086,250010,76
258,250113,250037,76
259,250135,250059,76
260,250090,249999,91
261,250148,250072,76
262,252463,251903,560
263,252353,251791,562
264,250153,250052,101
265,250081,250005,76
266,252542,251947,595
267,250134,250058,76
268,250099,250008,91
269,252547,251984,563
270,250088,250012,76
271,250103,250027,76
272,250128,250052,76
273,252526,251922,604
274,252503,251940,563
275,250161,250060,101
276,250103,250012,91
277,250150,250074,76
278,250081,250005,76
279,250107,250031,76
280,252292,251711,581
281,250087,250011,76
282,252351,251791,560
283,252401,251797,604
284,252318,251750,568
285,250171,250070,101
286,252291,251755,536
287,250129,250028,101
288,252199,251663,536
289,252349,251773,576
290,252208,251676,532
291,252374,251838,536
292,250124,250008,116
293,252248,251715,533
294,252303,251771,532
295,250132,250031,101
296,250153,250052,101
297,250088,250012,76
298,250105,250029,76
299,252384,251821,563
300,252199,251593,606
301,252205,251672,533
302,251985,251449,536
303,252199,251663,536
304,250147,250046,101
305,252122,251586,536
306,252028,251492,536
307,251996,251464,532
308,250128,250012,116
309,250163,250062,101
310,250113,250037,76
311,252084,251481,603
