bit_position,bit_interval,receiver_interval,sender_interval
0,252453,251712,741
1,252293,251713,580
2,249833,249732,101
3,252056,251484,572
4,249855,249754,101
5,249873,249772,101
6,249842,249766,76
7,252262,251659,603
8,252217,251572,645
9,252219,251684,535
10,249833,249732,101
11,249884,249783,101
12,252249,251689,560
13,252230,251695,535
14,252184,251651,533
15,249835,249734,101
16,252224,251674,550
17,252220,251684,536
18,252175,251639,536
19,252002,251426,576
20,249853,249752,101
21,249876,249775,101
22,252251,251688,563
23,251897,251365,532
24,249885,249769,116
25,249863,249762,101
26,249821,249745,76
27,252264,251669,595
28,252222,251662,560
29,252094,251534,560
30,251934,251389,545
31,252025,251481,544
32,249892,249776,116
33,249869,249768,101
34,249817,249741,76
35,249864,249788,76
36,252058,251495,563
37,252126,251531,595
38,249873,249772,101
39,249822,249746,76
40,249863,249772,91
41,249830,249754,76
42,249827,249751,76
43,249851,249775,76
44,249817,249741,76
45,252142,251538,604
46,251841,251253,588
47,251903,251331,572
48,251927,251353,574
49,251887,251342,545
50,251850,251314,536
51,251913,251380,533
52,249850,249749,101
53,249880,249779,101
54,249834,249758,76
55,251940,251355,585
56,251982,251386,596
57,249852,249751,101
58,249818,249742,76
59,249851,249775,76
60,249830,249754,76
61,251950,251390,560
62,251916,251353,563
63,249842,249741,101
64,251922,251347,575
65,249850,249749,101
66,249817,249741,76
67,251979,251375,604
68,251932,251344,588
69,249874,249773,101
70,249827,249751,76
71,251748,251185,563
72,251791,251197,594
73,251713,251177,536
74,251681,251145,536
75,251755,251219,536
76,251750,251214,536
77,251769,251201,568
78,251763,251193,570
79,251733,251163,570
80,251607,251035,572
81,249859,249758,101
82,251485,250928,557
83,249865,249764,101
84,249856,249755,101
85,251628,251047,581
86,251569,251033,536
87,249846,249745,101
88,251606,251056,550
89,251592,251056,536
90,249842,249741,101
91,249865,249764,101
92,249832,249756,76
93,251633,251036,597
94,251629,251034,595
95,249845,249744,101
96,251649,251037,612
97,251603,251049,554
98,249842,249741,101
99,251571,251035,536
100,251568,251032,536
101,249875,249774,101
102,251578,251025,553
103,251483,250915,568
104,251619,251029,590
105,249864,249763,101
106,249842,249741,101
107,251513,250951,562
108,249860,249759,101
109,251610,251047,563
110,251592,251056,536
111,251559,251023,536
112,249877,249761,116
113,249866,249765,101
114,251550,250991,559
115,251517,250949,568
116,249857,249756,101
117,249865,249764,101
118,249839,249763,76
119,249817,249741,76
120,251632,251054,578
121,249842,249766,76
122,249815,249739,76
123,251657,251054,603
124,249832,249756,76
125,249842,249766,76
126,251472,250879,593
127,252259,251700,559
128,252039,251498,541
129,249891,249790,101
130,249842,249741,101
131,249817,249741,76
132,252093,251530,563
133,251990,251387,603
134,249911,249795,116
135,249817,249741,76
136,252021,251458,563
137,252097,251534,563
138,249843,249742,101
139,251916,251347,569
140,251987,251415,572
141,249846,249745,101
142,249912,249796,116
143,249817,249741,76
144,249809,249733,76
145,252104,251541,563
146,252049,251486,563
147,249842,249741,101
148,252120,251557,563
149,249845,249744,101
150,252123,251545,578
151,249842,249741,101
152,252048,251484,564
153,251992,251456,536
154,249848,249747,101
155,252052,251482,570
156,251947,251411,536
157,252032,251496,536
158,251935,251361,574
159,251789,251219,570
160,249836,249735,101
161,251949,251395,554
162,251910,251334,576
163,251781,251228,553
164,251904,251354,550
165,251895,251325,570
166,251950,251400,550
167,249848,249747,101
168,251622,251046,576
169,251618,251081,537
170,249846,249745,101
171,251543,251007,536
172,249894,249793,101
173,251397,250864,533
174,249912,249796,116
175,249850,249749,101
176,249807,249731,76
177,249872,249796,76
178,249821,249745,76
179,249812,249736,76
180,249868,249792,76
181,251459,250855,604
182,251489,250911,578
183,249844,249743,101
184,251400,250837,563
185,251448,250912,536
186,251246,250694,552
187,251098,250560,538
188,249892,249791,101
189,251215,250682,533
190,251340,250758,582
191,251222,250686,536
192,251216,250680,536
193,249903,249802,101
194,251252,250720,532
195,251270,250702,568
196,249902,249801,101
197,249837,249736,101
198,251108,250531,577
199,249852,249751,101
200,249810,249734,76
201,249876,249800,76
202,251125,250562,563
203,251017,250420,597
204,249889,249788,101
205,251092,250529,563
206,250849,250299,550
207,249842,249741,101
208,249832,249731,101
209,250846,250283,563
210,249836,249735,101
211,250767,250204,563
212,250698,250162,536
213,250750,250214,536
214,250812,250262,550
215,250732,250197,535
216,249834,249733,101
217,250830,250262,568
218,249829,249728,101
219,249843,249742,101
220,249864,249788,76
221,250830,250227,603
222,249892,249801,91
223,249811,249735,76
224,250768,250205,563
225,249872,249796,76
226,250656,250093,563
227,250783,250222,561
228,249889,249788,101
229,250771,250211,560
230,250863,250279,584
231,249831,249730,101
232,250638,250102,536
233,249893,249792,101
234,250750,250214,536
235,249842,249741,101
236,250793,250257,536
237,250743,250207,536
238,249908,249792,116
239,250746,250210,536
240,250752,250216,536
241,250807,250271,536
242,250749,250213,536
243,249845,249744,101
244,250794,250258,536
245,249838,249737,101
246,249913,249797,116
247,249812,249736,76
248,249815,249739,76
249,249871,249795,76
250,250825,250228,597
251,249817,249741,76
252,249853,249777,76
253,250668,250065,603
254,249865,249789,76
255,249831,249755,76
256,252140,251577,563
257,252234,251645,589
258,252194,251642,552
259,249881,249780,101
260,249863,249747,116
261,249872,249796,76
262,252253,251650,603
263,252251,251666,585
264,249877,249776,101
265,249818,249742,76
266,249820,249744,76
267,249861,249785,76
268,249834,249743,91
269,249866,249790,76
270,249809,249733,76
271,249828,249752,76
272,252274,251687,587
273,249821,249745,76
274,249820,249744,76
275,252277,251700,577
276,249834,249743,91
277,252254,251694,560
278,252194,251631,563
279,252047,251503,544
280,252067,251531,536
281,252035,251499,536
282,252030,251498,532
283,249886,249785,101
284,252025,251476,549
285,252055,251519,536
286,252071,251495,576
287,252036,251501,535
288,252102,251532,570
289,252001,251466,535
290,252036,251500,536
291,252102,251570,532
292,251957,251385,572
293,249897,249796,101
294,249841,249740,101
295,249828,249752,76
296,252138,251549,589
297,252078,251515,563
298,249840,249739,101
299,252088,251525,563
300,252072,251488,584
301,252114,251546,568
302,249838,249737,101
303,249842,249741,101
304,249865,249789,76
305,252047,251466,581
306,251949,251389,560
307,252110,251535,575
308,249855,249739,116
309,249899,249798,101
310,249809,249733,76
311,251931,251352,579
312,251997,251434,563
313,249846,249745,101
314,249820,249744,76
315,249873,249797,76
316,251979,251387,592
317,249872,249796,76
318,249815,249739,76
319,249829,249753,76
320,249863,249787,76
321,249827,249751,76
322,252064,251501,563
323,249862,249786,76
324,252095,251521,574
325,252132,251569,563
326,249834,249733,101
327,251984,251403,581
328,249901,249800,101
329,249811,249735,76
330,251965,251396,569
331,249859,249783,76
332,249823,249732,91
333,249872,249796,76
334,252040,251480,560
335,252078,251497,581
336,252080,251520,560
337,249829,249728,101
338,251951,251375,576
339,252089,251533,556
340,249855,249739,116
341,252101,251549,552
342,252012,251460,552
343,249853,249752,101
344,249886,249785,101
345,251747,251166,581
346,249846,249745,101
347,251808,251220,588
348,251599,251049,550
349,251768,251232,536
