bit_position,bit_interval,receiver_interval,sender_interval
0,252076,251335,741
1,251900,251354,546
2,251773,251217,556
3,249512,249411,101
4,251713,251156,557
5,251650,251090,560
6,249536,249435,101
7,251617,251045,572
8,249545,249403,142
9,251689,251153,536
10,251692,251150,542
11,251707,251155,552
12,251717,251182,535
13,251740,251208,532
14,249537,249436,101
15,251670,251134,536
16,249519,249403,116
17,251695,251159,536
18,249503,249402,101
19,249516,249415,101
20,251735,251148,587
21,251643,251107,536
22,249534,249433,101
23,249499,249398,101
24,251722,251148,574
25,249512,249411,101
26,249487,249411,76
27,251783,251198,585
28,251699,251136,563
29,249546,249445,101
30,251766,251179,587
31,249503,249402,101
32,249497,249406,91
33,249487,249411,76
34,251606,251044,562
35,251464,250901,563
36,249493,249392,101
37,249523,249447,76
38,249508,249432,76
39,251492,250929,563
40,249499,249408,91
41,251734,251171,563
42,251743,251156,587
43,251480,250921,559
44,251620,251044,576
45,249552,249451,101
46,249531,249430,101
47,249487,249411,76
48,249496,249405,91
49,249479,249403,76
50,249487,249411,76
51,249487,249411,76
52,251608,251041,567
53,249525,249449,76
54,251686,251082,604
55,249487,249411,76
56,251729,251151,578
57,251563,250990,573
58,251583,251015,568
59,251440,250907,533
60,249505,249404,101
61,249549,249448,101
62,251632,251028,604
63,251559,251001,558
64,251572,250988,584
65,251533,250997,536
66,251563,251027,536
67,249510,249409,101
68,251530,250994,536
69,249548,249447,101
70,249522,249421,101
71,251573,250994,579
72,249519,249403,116
73,251268,250705,563
74,251377,250845,532
75,249508,249407,101
76,249504,249403,101
77,251270,250673,597
78,251278,250742,536
79,251363,250828,535
80,251381,250831,550
81,251255,250719,536
82,249516,249415,101
83,251387,250851,536
84,249505,249404,101
85,251434,250882,552
86,251417,250857,560
87,251428,250852,576
88,249515,249399,116
89,249512,249411,101
90,249487,249411,76
91,251272,250713,559
92,251239,250668,571
93,249544,249443,101
94,249508,249432,76
95,251287,250684,603
96,249491,249400,91
97,249488,249412,76
98,251281,250678,603
99,251087,250524,563
100,249507,249406,101
101,251144,250557,587
102,249533,249432,101
103,251089,250486,603
104,249508,249392,116
105,249488,249412,76
106,249487,249411,76
107,249487,249411,76
108,249483,249407,76
109,251127,250564,563
110,249508,249432,76
111,251083,250520,563
112,251097,250523,574
113,250958,250423,535
114,251083,250547,536
115,251095,250527,568
116,251088,250520,568
117,251104,250547,557
118,250796,250263,533
119,249514,249413,101
120,250907,250357,550
121,249516,249415,101
122,249510,249409,101
