bit_position,bit_interval,receiver_interval,sender_interval
0,252716,251975,741
1,252417,251847,570
2,252500,251928,572
3,250282,250181,101
4,250274,250173,101
5,252513,251925,588
6,250250,250149,101
7,250218,250142,76
8,250306,250189,117
9,250258,250182,76
10,250248,250172,76
11,250259,250183,76
12,252505,251946,559
13,252361,251764,597
14,250266,250165,101
15,250225,250149,76
16,252344,251766,578
17,252182,251601,581
18,252146,251610,536
19,250286,250185,101
20,252194,251622,572
21,252018,251486,532
22,252124,251564,560
23,252173,251599,574
24,252206,251624,582
25,250282,250181,101
26,250298,250197,101
27,252183,251623,560
28,250268,250167,101
29,252059,251496,563
30,251931,251399,532
31,250252,250151,101
32,252021,251460,561
33,250282,250181,101
34,250282,250181,101
35,251936,251348,588
36,251850,251314,536
37,252005,251470,535
38,250288,250187,101
39,250256,250155,101
40,252066,251466,600
41,250276,250175,101
42,252008,251445,563
43,250282,250181,101
44,250230,250154,76
45,252029,251469,560
46,251840,251252,588
47,251812,251276,536
48,250291,250175,116
49,251828,251292,536
50,252260,251727,533
51,250714,250613,101
52,250701,250600,101
53,252290,251727,563
54,250674,250573,101
55,250668,250592,76
56,250698,250607,91
57,250678,250602,76
58,252254,251691,563
59,252342,251739,603
60,250714,250613,101
61,252295,251735,560
62,250661,250560,101
63,250676,250600,76
64,250696,250605,91
65,252312,251709,603
66,252174,251611,563
67,252267,251731,536
68,250699,250598,101
69,252174,251638,536
70,252231,251659,572
71,252237,251701,536
72,252279,251733,546
73,252259,251723,536
74,252239,251707,532
75,250726,250625,101
76,252149,251613,536
77,252267,251731,536
78,252215,251679,536
79,250695,250594,101
80,252211,251623,588
81,252284,251712,572
82,250695,250594,101
83,250703,250602,101
84,252139,251579,560
85,250714,250613,101
86,251970,251407,563
87,250697,250596,101
88,250692,250601,91
89,252148,251569,579
90,250682,250606,76
91,251897,251300,597
92,250683,250607,76
93,250689,250613,76
94,251936,251373,563
95,250671,250595,76
96,250714,250623,91
97,250690,250614,76
98,251959,251396,563
99,250684,250608,76
100,250684,250608,76
101,251982,251419,563
102,251975,251412,563
103,251822,251286,536
104,250710,250594,116
105,251941,251405,536
106,250691,250590,101
107,250714,250613,101
108,251986,251423,563
109,251930,251394,536
110,251920,251384,536
111,251832,251296,536
112,251952,251402,550
113,251875,251303,572
114,250697,250596,101
115,251994,251426,568
116,251967,251399,568
117,250703,250602,101
118,251912,251376,536
119,250693,250592,101
120,251960,251414,546
121,251669,251097,572
122,250689,250588,101
123,250714,250613,101
124,250688,250612,76
125,250680,250604,76
126,250636,250560,76
127,250231,250155,76
128,250266,250190,76
129,250257,250181,76
130,252656,252093,563
131,252569,252006,563
132,252677,252101,576
133,252646,252074,572
134,250313,250197,116
135,252551,252015,536
136,250278,250177,101
137,252537,252001,536
138,250282,250181,101
139,252535,251999,536
140,252452,251916,536
141,250283,250182,101
142,252489,251942,547
143,250227,250126,101
144,252339,251803,536
145,250280,250179,101
146,250298,250197,101
147,252495,251933,562
148,250265,250164,101
149,250259,250183,76
150,252527,251923,604
151,252497,251904,593
152,250302,250201,101
153,252479,251916,563
154,250282,250181,101
155,250257,250181,76
156,252382,251819,563
157,250261,250185,76
158,252525,251947,578
159,250202,250126,76
160,250249,250173,76
161,252489,251927,562
162,252511,251952,559
163,252465,251929,536
164,252344,251808,536
165,252474,251938,536
166,250291,250175,116
167,250227,250126,101
168,250249,250173,76
169,252403,251824,579
170,250251,250175,76
171,252492,251932,560
172,250249,250173,76
173,252553,251950,603
174,250260,250169,91
175,250203,250127,76
176,250249,250173,76
177,250257,250181,76
178,252525,251948,577
179,250251,250175,76
180,250249,250173,76
181,252379,251817,562
182,250247,250156,91
183,250212,250136,76
184,252213,251626,587
185,252303,251744,559
186,250283,250182,101
187,252311,251746,565
188,252300,251746,554
189,252322,251787,535
190,250297,250181,116
191,250231,250130,101
192,250247,250171,76
193,252332,251769,563
194,250241,250165,76
195,252392,251795,597
196,252347,251776,571
197,250282,250181,101
198,250272,250181,91
199,252155,251576,579
200,251989,251429,560
201,251983,251447,536
202,251990,251454,536
203,250277,250176,101
204,251828,251292,536
205,250280,250179,101
