bit_position,bit_interval,receiver_interval,sender_interval
0,250379,250212,167
1,250333,250222,111
2,250242,250166,76
3,250257,250181,76
4,250255,250179,76
5,252798,252099,699
6,250261,250185,76
7,252660,252100,560
8,250290,250173,117
9,252516,251956,560
10,250242,250166,76
11,252681,252084,597
12,252669,252074,595
13,250280,250179,101
14,252676,252085,591
15,252611,252075,536
16,250289,250173,116
17,252505,251969,536
18,252612,252080,532
19,250288,250187,101
20,252461,251925,536
21,250282,250181,101
22,252488,251928,560
23,252394,251837,557
24,252501,251952,549
25,250278,250177,101
26,252476,251940,536
27,250291,250190,101
28,252485,251915,570
29,252383,251813,570
30,252484,251948,536
31,252284,251746,538
32,250294,250178,116
33,252225,251673,552
34,250282,250181,101
35,250287,250186,101
36,250232,250156,76
37,252339,251777,562
38,250277,250201,76
39,252230,251667,563
40,250275,250184,91
41,252334,251771,563
42,250257,250181,76
43,250263,250187,76
44,250238,250162,76
45,250260,250184,76
46,252332,251772,560
47,250257,250181,76
48,252393,251775,618
49,250243,250167,76
50,250258,250182,76
51,252379,251816,563
52,250242,250166,76
53,250264,250188,76
54,252282,251678,604
55,252311,251739,572
56,252220,251652,568
57,250271,250170,101
58,250283,250182,101
59,252350,251790,560
60,252299,251763,536
61,252354,251786,568
62,252306,251770,536
63,250282,250181,101
64,252074,251508,566
65,250267,250166,101
66,252216,251680,536
67,252306,251769,537
68,250274,250173,101
69,250285,250184,101
70,250244,250168,76
71,250258,250182,76
72,252364,251774,590
73,252352,251764,588
74,252339,251767,572
75,250278,250177,101
76,252326,251770,556
77,250294,250193,101
78,250267,250166,101
79,252369,251782,587
80,252208,251658,550
81,250278,250177,101
82,252242,251670,572
83,250269,250168,101
84,252339,251779,560
85,250282,250181,101
86,252288,251752,536
87,252308,251772,536
88,252316,251767,549
89,250282,250181,101
90,250290,250189,101
91,250242,250166,76
92,252024,251461,563
93,252049,251446,603
94,250278,250177,101
95,252017,251444,573
96,250281,250165,116
97,251931,251344,587
98,250286,250185,101
99,250252,250176,76
100,252023,251460,563
101,251749,251186,563
102,250282,250181,101
103,251761,251198,563
104,250274,250158,116
105,251749,251152,597
106,250292,250191,101
107,251409,250812,597
108,250284,250183,101
109,251363,250804,559
110,250282,250181,101
111,251421,250824,597
112,250280,250164,116
113,251395,250832,563
114,251355,250820,535
115,250282,250181,101
116,250276,250175,101
117,250242,250166,76
118,251309,250712,597
119,250267,250191,76
120,251376,250798,578
121,251375,250812,563
122,250290,250189,101
123,250257,250181,76
124,251409,250814,595
125,250240,250164,76
126,250258,250182,76
127,252607,252044,563
128,252548,251988,560
129,252627,252092,535
130,250271,250170,101
131,250274,250173,101
132,252327,251767,560
133,250269,250168,101
134,252272,251694,578
135,252305,251753,552
136,252300,251764,536
137,250285,250184,101
138,252295,251766,529
139,252151,251615,536
140,252324,251772,552
141,250280,250179,101
142,252314,251764,550
143,250268,250167,101
144,250282,250181,101
145,252346,251783,563
146,252329,251794,535
147,250279,250178,101
148,252018,251482,536
149,252169,251625,544
150,250302,250186,116
151,250257,250156,101
152,250258,250182,76
153,250277,250201,76
154,252179,251616,563
155,250260,250184,76
156,250251,250175,76
157,252191,251628,563
158,250278,250187,91
159,252162,251569,593
160,250260,250184,76
161,250261,250185,76
162,250257,250181,76
163,250253,250177,76
164,252182,251620,562
165,252064,251505,559
166,252155,251605,550
167,252136,251584,552
168,251935,251403,532
169,252150,251615,535
170,252177,251617,560
171,252201,251625,576
172,252181,251621,560
