bit_position,bit_interval,receiver_interval,sender_interval
0,249939,249772,167
1,252402,251712,690
2,252129,251593,536
3,249862,249761,101
4,249826,249725,101
5,249846,249770,76
6,249840,249764,76
7,249815,249739,76
8,249850,249733,117
9,249818,249742,76
10,252251,251656,595
11,249819,249743,76
12,249809,249733,76
13,252177,251590,587
14,252170,251567,603
15,249827,249726,101
16,252278,251660,618
17,252236,251666,570
18,252213,251645,568
19,249846,249745,101
20,249832,249731,101
21,252272,251669,603
22,252232,251665,567
23,249830,249729,101
24,252097,251548,549
25,252249,251673,576
26,249850,249749,101
27,249845,249744,101
28,252188,251625,563
29,249876,249775,101
30,249840,249764,76
31,249808,249732,76
32,252025,251447,578
33,252210,251641,569
34,251926,251385,541
35,252048,251480,568
36,249823,249722,101
37,251992,251420,572
38,251988,251452,536
39,251774,251202,572
40,251912,251328,584
41,249836,249735,101
42,249842,249741,101
43,249817,249741,76
44,249798,249722,76
45,249854,249778,76
46,249838,249762,76
47,251903,251341,562
48,251926,251352,574
49,251768,251216,552
50,249839,249738,101
51,249842,249741,101
52,249804,249728,76
53,249855,249779,76
54,251826,251245,581
55,249817,249741,76
56,249826,249735,91
57,251794,251231,563
58,249818,249742,76
59,249817,249741,76
60,249813,249737,76
61,251920,251357,563
62,249824,249748,76
63,251946,251343,603
64,251904,251326,578
65,249833,249732,101
66,251927,251324,603
67,251746,251213,533
68,249834,249733,101
69,249878,249777,101
70,249827,249751,76
71,249818,249742,76
72,251902,251324,578
73,249813,249737,76
74,249811,249735,76
75,249813,249737,76
76,251657,251098,559
77,249851,249775,76
78,249827,249751,76
79,251910,251329,581
80,249824,249733,91
81,249817,249741,76
82,249821,249745,76
83,251880,251320,560
84,249810,249734,76
85,251940,251378,562
86,249833,249757,76
87,251909,251328,581
88,251940,251322,618
89,251708,251172,536
90,249842,249741,101
91,251871,251312,559
92,249836,249735,101
93,251894,251362,532
94,251731,251199,532
95,249848,249747,101
96,249855,249739,116
97,249810,249734,76
98,251652,251055,597
99,251735,251172,563
100,251554,251018,536
101,249873,249772,101
102,249863,249762,101
103,249819,249743,76
104,251586,251009,577
105,251583,251024,559
106,251563,250987,576
107,251540,251004,536
108,249835,249734,101
109,251461,250926,535
110,251601,251031,570
111,251594,251024,570
112,251562,251012,550
113,251541,251006,535
114,251557,251021,536
115,251583,251013,570
116,251397,250841,556
117,249865,249764,101
118,249864,249763,101
119,251423,250860,563
120,249849,249733,116
121,249821,249745,76
122,249815,249739,76
123,249817,249741,76
124,251406,250843,563
125,251458,250899,559
126,249864,249763,101
127,252272,251713,559
128,249842,249741,101
129,252236,251673,563
130,252018,251482,536
131,252200,251646,554
132,252072,251537,535
133,249845,249744,101
134,249909,249793,116
135,252248,251685,563
136,252190,251657,533
137,249831,249730,101
138,249843,249742,101
139,252118,251556,562
140,249842,249741,101
141,249817,249741,76
142,249877,249786,91
143,251957,251394,563
144,249809,249733,76
145,249808,249732,76
146,251837,251250,587
147,249817,249741,76
148,252036,251477,559
149,249820,249744,76
150,249876,249785,91
151,252064,251501,563
152,251899,251336,563
153,252025,251489,536
154,251934,251390,544
155,249840,249739,101
156,252076,251500,576
157,249842,249741,101
158,249901,249785,116
159,251946,251383,563
160,252033,251481,552
161,252041,251504,537
162,252082,251506,576
163,252065,251493,572
164,249846,249745,101
165,249834,249733,101
166,249882,249791,91
167,249822,249746,76
168,252065,251502,563
169,249815,249739,76
170,251930,251368,562
171,249806,249730,76
172,249810,249734,76
173,249817,249741,76
174,252165,251562,603
175,249829,249753,76
176,252025,251462,563
