bit_position,bit_interval,receiver_interval,sender_interval
0,249740,249573,167
1,252186,251496,690
2,249671,249570,101
3,251994,251450,544
4,251884,251272,612
5,249672,249571,101
6,249649,249548,101
7,249629,249553,76
8,252046,251441,605
9,251914,251351,563
10,251994,251461,533
11,252006,251470,536
12,249648,249547,101
13,251869,251329,540
14,249647,249546,101
15,251714,251142,572
16,249650,249534,116
17,249656,249555,101
18,249647,249571,76
19,251726,251129,597
20,249621,249545,76
21,251752,251155,597
22,251478,250915,563
23,249647,249546,101
24,249627,249536,91
25,249627,249551,76
26,251765,251168,597
27,251702,251139,563
28,249642,249541,101
29,249652,249576,76
30,249628,249552,76
31,249627,249551,76
32,251717,251139,578
33,251773,251170,603
34,251705,251169,536
35,249650,249549,101
36,249637,249536,101
37,249649,249573,76
38,249618,249542,76
39,249626,249550,76
40,251553,250978,575
41,249625,249549,76
42,249650,249574,76
43,249618,249542,76
44,251515,250956,559
45,249655,249579,76
46,251541,250978,563
47,249635,249559,76
48,249627,249536,91
49,249623,249547,76
50,249653,249577,76
51,251552,250989,563
52,251467,250864,603
53,249681,249580,101
54,249612,249536,76
55,249631,249555,76
56,249627,249536,91
57,249620,249544,76
58,249653,249577,76
59,249628,249552,76
60,249626,249550,76
61,249655,249579,76
62,251544,250957,587
63,251423,250826,597
64,249654,249538,116
65,251380,250817,563
66,251379,250847,532
67,251396,250826,570
68,249648,249547,101
69,249679,249578,101
70,249607,249531,76
71,251393,250834,559
72,249625,249534,91
73,249631,249555,76
74,251427,250864,563
75,251273,250708,565
76,249648,249547,101
77,251300,250738,562
78,251356,250820,536
79,249658,249557,101
80,251376,250793,583
81,249656,249555,101
82,251393,250858,535
83,249632,249531,101
84,249649,249548,101
85,251403,250840,563
86,251351,250815,536
87,251377,250841,536
88,249652,249536,116
89,251122,250569,553
90,251232,250696,536
91,251227,250658,569
92,249650,249549,101
93,249679,249578,101
94,249618,249542,76
95,249630,249554,76
96,251143,250541,602
97,251260,250672,588
98,251226,250693,533
99,251196,250663,533
100,251194,250658,536
101,251213,250681,532
102,251227,250666,561
103,249658,249557,101
104,251044,250497,547
105,251084,250514,570
106,249679,249578,101
107,251083,250507,576
108,249653,249552,101
109,251057,250524,533
110,250978,250402,576
111,249656,249555,101
112,251024,250474,550
113,251060,250524,536
114,251034,250499,535
115,251027,250491,536
116,249650,249549,101
117,251071,250535,536
118,249644,249543,101
119,249656,249555,101
120,251114,250502,612
121,249660,249559,101
122,249652,249576,76
123,249618,249542,76
124,249619,249543,76
125,249641,249565,76
126,251076,250513,563
127,249653,249577,76
128,249652,249576,76
129,249584,249508,76
