bit_position,original_bit,received_bit,bit_interval
408,1,1,254312
409,1,1,254309
410,0,0,252497
411,1,1,254309
412,0,0,252504
413,0,0,252491
414,1,1,254404
415,0,0,252496
416,0,0,252485
417,0,0,252486
418,0,0,252463
419,1,1,254339
420,1,1,254346
421,0,0,252496
422,1,1,254337
423,0,0,252496
424,0,0,252506
425,0,0,252486
426,1,1,254320
427,0,0,252471
428,1,1,254326
429,1,1,254341
430,1,1,254352
431,0,0,252496
432,0,0,252478
433,1,1,254350
434,0,0,252467
435,0,0,252471
436,1,1,254387
437,0,0,252471
438,1,1,254333
439,1,1,254323
440,0,0,252496
441,0,0,252489
442,1,1,254316
443,1,1,254344
444,0,0,252496
445,0,0,252470
446,1,1,254323
447,1,1,254380
448,0,0,252496
449,0,0,252486
450,0,0,252463
451,1,1,254411
452,1,1,254235
453,0,0,252490
454,1,1,254320
455,0,0,252494
456,0,0,252473
457,0,0,252484
458,1,1,254383
459,1,1,254325
460,0,0,252496
461,0,0,252471
462,1,1,254317
463,1,1,254404
464,0,0,252496
465,0,0,252486
466,1,1,254315
467,1,1,254392
468,1,1,254197
469,0,0,252496
470,1,1,254310
471,0,0,252496
472,0,0,252494
473,0,0,252487
474,0,0,252461
475,0,0,252479
476,1,1,254325
477,1,1,254317
478,0,0,252483
479,1,1,254345
480,1,1,254311
481,0,0,252511
482,1,1,254292
483,0,0,252510
484,1,1,254262
485,1,1,254328
486,1,1,254373
487,1,1,254331
488,0,0,252496
489,1,1,254311
490,1,1,254292
491,1,1,254375
492,0,0,252496
493,1,1,254305
494,0,0,252488
495,0,0,252492
496,1,1,254318
497,0,0,252491
498,1,1,254380
499,1,1,254296
500,1,1,254298
501,1,1,254281
502,0,0,252488
503,1,1,254299
504,1,1,254317
505,1,1,254322
506,0,0,252488
507,1,1,254208
508,0,0,252501
509,1,1,254301
510,1,1,254306
511,1,1,254315
512,1,1,254311
513,1,1,254317
514,0,0,252487
515,1,1,1264456
516,0,0,478715
517,1,1,254366
518,1,1,254220
519,1,1,254128
520,1,1,254144
