bit_position,bit_interval,receiver_interval,sender_interval
0,252542,251801,741
1,252356,251810,546
2,249945,249844,101
3,249952,249851,101
4,252203,251644,559
5,249943,249842,101
6,249897,249821,76
7,249900,249824,76
8,249964,249847,117
9,252212,251625,587
10,252149,251568,581
11,249950,249849,101
12,249923,249847,76
13,249923,249847,76
14,252169,251572,597
15,249895,249819,76
16,249934,249843,91
17,252160,251597,563
18,252211,251624,587
19,252123,251591,532
20,249945,249844,101
21,252188,251616,572
22,249919,249818,101
23,251892,251324,568
24,249961,249845,116
25,252008,251296,712
26,251994,251458,536
27,251880,251328,552
28,252000,251440,560
29,252001,251469,532
30,251958,251422,536
31,251926,251390,536
32,251850,251278,572
33,249952,249851,101
34,249952,249851,101
35,251872,251291,581
36,249939,249838,101
37,249928,249852,76
38,249902,249826,76
39,249901,249825,76
40,249939,249848,91
41,249921,249845,76
42,251845,251285,560
43,249927,249851,76
44,251704,251100,604
45,251623,251028,595
46,251619,251084,535
47,251644,251084,560
48,249959,249843,116
49,251638,251106,532
50,251679,251123,556
51,251691,251135,556
52,251646,251110,536
53,251673,251137,536
54,249914,249813,101
55,249931,249830,101
56,249934,249843,91
57,251568,251005,563
58,249928,249852,76
59,251693,251130,563
60,251685,251122,563
61,251566,251030,536
62,251605,251069,536
63,251662,251090,572
64,249959,249843,116
65,251657,251121,536
66,251558,251022,536
67,249952,249851,101
68,249940,249839,101
69,251700,251137,563
70,249907,249806,101
71,251608,251004,604
72,251703,251115,588
73,249954,249853,101
74,249950,249849,101
75,251691,251110,581
76,249944,249843,101
77,251728,251141,587
78,249905,249804,101
79,249912,249836,76
80,249934,249843,91
81,249930,249854,76
82,251681,251121,560
83,249916,249840,76
84,251727,251132,595
85,251699,251112,587
86,251612,251076,536
87,249944,249843,101
88,249955,249839,116
89,249927,249851,76
90,251685,251122,563
91,249920,249844,76
92,251718,251121,597
93,251430,250868,562
94,251485,250932,553
95,251502,250966,536
96,249953,249837,116
97,249959,249858,101
98,249927,249851,76
99,251454,250850,604
100,251414,250851,563
101,251554,250978,576
102,251496,250936,560
103,249943,249842,101
104,249948,249832,116
105,251360,250797,563
106,251267,250689,578
107,249952,249851,101
108,251356,250820,536
109,249944,249843,101
110,249918,249817,101
111,249904,249828,76
112,251136,250558,578
113,249930,249854,76
114,249926,249850,76
115,251383,250820,563
116,249921,249845,76
117,251348,250789,559
118,251378,250775,603
119,249931,249830,101
120,249934,249843,91
121,249931,249855,76
122,249925,249849,76
123,251370,250807,563
124,251408,250805,603
125,251571,251035,536
126,251615,251058,557
127,252289,251753,536
128,252296,251755,541
129,252098,251553,545
130,249955,249854,101
131,249946,249845,101
132,249925,249849,76
133,249923,249847,76
134,252340,251765,575
135,252158,251565,593
