bit_position,bit_interval,receiver_interval,sender_interval
0,252877,252136,741
1,250333,250222,111
2,252572,252036,536
3,252467,251907,560
4,250274,250173,101
5,250277,250176,101
6,252502,251905,597
7,252442,251907,535
8,252558,251942,616
9,252483,251926,557
10,252402,251869,533
11,250303,250202,101
12,250274,250173,101
13,250257,250181,76
14,252445,251883,562
15,250225,250149,76
16,250264,250173,91
17,252488,251925,563
18,250214,250138,76
19,250240,250164,76
20,250255,250179,76
21,250241,250165,76
22,252505,251910,595
23,250225,250149,76
24,252351,251774,577
25,252249,251654,595
26,250248,250147,101
27,252330,251751,579
28,252312,251776,536
29,252321,251785,536
30,250283,250182,101
31,250252,250151,101
32,252162,251585,577
33,251841,251305,536
34,251801,251269,532
35,250264,250163,101
36,250263,250162,101
37,251885,251288,597
38,250248,250147,101
39,251677,251114,563
40,250294,250178,116
41,250251,250175,76
42,251682,251087,595
43,250236,250160,76
44,251683,251120,563
45,250260,250184,76
46,251680,251099,581
47,250236,250160,76
48,250266,250175,91
49,251705,251118,587
50,251670,251107,563
51,250261,250160,101
52,250244,250168,76
53,251710,251147,563
54,251675,251078,597
55,251671,251135,536
56,251684,251137,547
57,250271,250170,101
58,251549,251013,536
59,250261,250160,101
60,251666,251130,536
61,250285,250184,101
62,250240,250139,101
63,250252,250176,76
64,250264,250173,91
65,251604,251041,563
66,251663,251100,563
67,250259,250158,101
68,250241,250165,76
69,251597,251034,563
70,251692,251088,604
71,250262,250161,101
72,251587,251010,577
73,251664,251128,536
74,251663,251127,536
75,251692,251116,576
76,250274,250173,101
77,251595,251041,554
78,250239,250138,101
79,250263,250162,101
80,251719,251100,619
81,251680,251145,535
82,251657,251121,536
83,251528,250992,536
84,250275,250174,101
85,251684,251139,545
86,250243,250142,101
87,251672,251118,554
88,250285,250169,116
89,250282,250181,101
90,250223,250147,76
91,251558,250963,595
92,250235,250159,76
93,250257,250181,76
94,250223,250147,76
95,251538,250941,597
96,250274,250183,91
97,251427,250864,563
98,251495,250932,563
99,251516,250956,560
100,251501,250965,536
101,250305,250204,101
102,250248,250147,101
103,250238,250162,76
104,251539,250961,578
105,250258,250182,76
106,250215,250139,76
107,251534,250971,563
108,251406,250843,563
109,251513,250977,536
110,251391,250837,554
111,251524,250954,570
112,250280,250164,116
113,250285,250184,101
