bit_position,bit_interval,receiver_interval,sender_interval
0,252412,251671,741
1,250058,249947,111
2,249954,249853,101
3,252105,251517,588
4,252223,251671,552
5,250002,249901,101
6,249979,249878,101
7,249959,249883,76
8,252248,251643,605
9,252229,251626,603
10,252199,251623,576
11,252193,251657,536
12,250000,249899,101
13,250003,249902,101
14,252190,251627,563
15,249975,249874,101
16,252115,251537,578
17,250007,249906,101
18,252080,251513,567
19,252025,251484,541
20,251940,251364,576
21,252038,251502,536
22,249979,249878,101
23,251878,251342,536
24,250016,249900,116
25,251891,251355,536
26,251854,251298,556
27,251879,251309,570
28,251634,251096,538
29,250007,249906,101
30,251897,251327,570
31,251745,251212,533
32,251880,251333,547
33,251752,251217,535
34,251723,251191,532
35,249985,249884,101
36,249988,249887,101
37,249983,249907,76
38,251868,251305,563
39,251793,251198,595
40,250011,249895,116
41,249975,249899,76
42,249948,249872,76
43,251874,251315,559
44,251903,251316,587
45,250010,249909,101
46,249946,249870,76
47,249961,249885,76
48,249991,249900,91
49,249986,249910,76
50,251713,251150,563
51,249961,249885,76
52,251729,251166,563
53,251754,251171,583
54,249967,249866,101
55,249963,249887,76
56,249991,249900,91
57,249971,249895,76
58,249949,249873,76
59,249951,249875,76
60,251796,251192,604
61,249985,249909,76
62,249940,249864,76
63,249971,249895,76
64,249989,249898,91
65,249969,249893,76
66,251618,251023,595
67,251726,251163,563
68,250011,249910,101
69,251744,251181,563
70,251663,251130,533
71,249987,249886,101
72,250014,249898,116
73,251723,251160,563
74,249977,249876,101
75,251770,251166,604
76,249999,249898,101
77,249982,249906,76
78,251689,251126,563
79,251650,251053,597
80,251654,251070,584
81,250007,249906,101
82,251607,251071,536
83,249975,249874,101
84,251587,251051,536
85,250007,249906,101
86,251686,251134,552
87,250010,249909,101
88,250012,249896,116
89,249982,249906,76
90,251710,251148,562
91,251719,251124,595
92,251711,251175,536
93,251471,250911,560
94,251501,250949,552
95,251538,251002,536
96,251453,250907,546
97,251543,251007,536
98,249972,249871,101
99,251534,250999,535
100,251565,251029,536
101,250006,249905,101
102,251499,250966,533
103,249986,249885,101
104,250003,249887,116
105,249983,249907,76
106,251575,251016,559
107,249963,249887,76
108,249979,249903,76
109,249976,249900,76
110,251536,250977,559
111,249961,249885,76
112,251580,251002,578
113,251629,251034,595
114,251363,250827,536
115,249991,249890,101
116,251398,250862,536
117,251159,250623,536
118,251211,250676,535
119,251203,250667,536
120,251246,250696,550
121,251144,250608,536
122,250947,250411,536
123,249986,249885,101
124,249999,249898,101
125,251091,250528,563
126,250935,250399,536
127,250000,249899,101
128,249982,249906,76
129,249976,249900,76
130,249970,249894,76
131,252310,251747,563
132,252391,251810,581
133,252361,251804,557
134,252297,251724,573
135,249940,249839,101
136,252365,251805,560
137,250008,249907,101
138,250016,249915,101
139,252322,251759,563
140,252344,251800,544
141,250007,249906,101
142,252400,251828,572
143,249938,249837,101
144,252420,251848,572
145,250007,249906,101
146,249998,249897,101
147,252327,251760,567
148,252214,251682,532
149,252350,251814,536
150,250025,249909,116
151,249933,249832,101
152,249983,249907,76
153,249982,249906,76
154,252351,251792,559
155,249924,249848,76
156,252104,251544,560
157,252252,251693,559
158,252078,251528,550
159,252149,251613,536
160,250010,249909,101
161,250007,249906,101
162,249982,249906,76
163,249924,249848,76
164,252134,251553,581
165,252207,251647,560
166,250026,249910,116
167,249914,249838,76
168,252212,251649,563
169,252235,251647,588
170,252089,251551,538
171,249946,249845,101
172,252108,251540,568
173,252094,251562,532
174,252132,251564,568
175,249944,249843,101
176,252093,251557,536
177,250001,249900,101
178,252232,251662,570
179,249944,249843,101
180,252092,251556,536
181,252183,251651,532
182,252216,251669,547
183,252000,251467,533
184,250009,249908,101
185,252176,251640,536
186,250008,249907,101
187,252145,251591,554
188,252204,251636,568
189,252000,251464,536
190,251941,251391,550
191,251977,251445,532
192,250005,249904,101
193,252073,251497,576
194,252018,251485,533
195,249940,249839,101
196,252074,251518,556
197,250011,249910,101
198,250011,249895,116
199,251891,251320,571
200,252042,251504,538
201,252058,251505,553
202,250011,249910,101
203,251976,251424,552
204,252027,251491,536
205,252050,251514,536
206,250011,249895,116
207,249946,249845,101
208,249982,249906,76
209,249990,249914,76
210,249987,249911,76
211,251917,251313,604
212,249983,249907,76
213,249982,249906,76
214,251852,251274,578
215,249922,249846,76
216,249981,249905,76
217,249982,249906,76
218,249984,249908,76
219,252027,251423,604
220,249982,249906,76
221,252074,251511,563
222,252078,251500,578
223,251976,251443,533
224,251916,251362,554
225,250005,249904,101
226,251898,251346,552
227,251811,251275,536
228,251871,251335,536
229,251779,251243,536
230,250022,249906,116
231,251813,251277,536
232,249996,249895,101
233,250009,249908,101
234,251790,251227,563
235,251798,251262,536
236,251928,251358,570
237,250005,249904,101
238,251760,251213,547
