bit_position,bit_interval,receiver_interval,sender_interval
0,252729,251988,741
1,250200,250089,111
2,250125,250024,101
3,250125,250049,76
4,252483,251924,559
5,252466,251871,595
6,252508,251976,532
7,252535,251977,558
8,252573,251951,622
9,252412,251840,572
10,252348,251812,536
11,252471,251935,536
12,250136,250035,101
13,252522,251946,576
14,252519,251959,560
15,252271,251735,536
16,250145,250029,116
17,250151,250050,101
18,252213,251654,559
19,250155,250054,101
20,252173,251570,603
21,250163,250062,101
22,252356,251783,573
23,250144,250043,101
24,252226,251624,602
25,252189,251654,535
26,252143,251608,535
27,250152,250051,101
28,252180,251635,545
29,252169,251628,541
30,250138,250037,101
31,252178,251642,536
32,250149,250033,116
33,252220,251660,560
34,252049,251517,532
35,250150,250049,101
36,250119,250018,101
37,251915,251355,560
38,251922,251354,568
39,250150,250049,101
40,250152,250036,116
41,252090,251495,595
42,252021,251469,552
43,252061,251493,568
44,252001,251449,552
45,252046,251478,568
46,251922,251386,536
47,252041,251505,536
48,251982,251435,547
49,252001,251465,536
50,250139,250038,101
51,251812,251279,533
52,252012,251456,556
53,250153,250052,101
54,250135,250034,101
55,250131,250055,76
56,251954,251344,610
57,252060,251465,595
58,250139,250038,101
59,252044,251481,563
60,250130,250029,101
61,250125,250049,76
62,250103,250027,76
63,252084,251480,604
64,252059,251463,596
65,252000,251467,533
66,250142,250041,101
67,250149,250048,101
68,251860,251297,563
69,251640,251104,536
70,250119,250018,101
71,251848,251315,533
72,250157,250041,116
73,250151,250050,101
74,250119,250043,76
75,251850,251290,560
76,251862,251299,563
77,250151,250050,101
78,250104,250028,76
79,251895,251332,563
80,251864,251284,580
81,251760,251224,536
82,250142,250041,101
83,250141,250040,101
84,251862,251302,560
85,250151,250050,101
86,250104,250028,76
87,251904,251325,579
88,251704,251129,575
89,251710,251134,576
90,251363,250830,533
91,250142,250041,101
92,250132,250031,101
93,250126,250050,76
94,250113,250037,76
95,250121,250045,76
96,250114,250023,91
97,250123,250047,76
98,251738,251175,563
99,251754,251173,581
100,251703,251147,556
101,251554,251018,536
102,250138,250037,101
103,251556,251004,552
104,251536,250986,550
105,251559,251023,536
106,250143,250042,101
107,250153,250052,101
108,251583,250985,598
109,250145,250044,101
110,251457,250894,563
111,250151,250050,101
112,251514,250939,575
113,250154,250053,101
114,250122,250046,76
115,250130,250054,76
116,251556,250996,560
117,251601,250997,604
118,251576,251004,572
119,250151,250050,101
120,250145,250029,116
121,250122,250046,76
122,250107,250031,76
123,251599,251037,562
124,251426,250863,563
125,250146,250045,101
126,250114,250038,76
127,252456,251894,562
128,252543,251968,575
129,250100,249999,101
130,252273,251713,560
131,250113,250012,101
132,252280,251676,604
133,252161,251629,532
134,250172,250056,116
135,252126,251594,532
136,250172,250071,101
137,252173,251603,570
138,250167,250066,101
139,252162,251592,570
140,250177,250076,101
141,252203,251633,570
142,252079,251532,547
143,250120,250019,101
144,252232,251685,547
145,250117,250016,101
146,250162,250061,101
147,252154,251594,560
148,250183,250082,101
149,252219,251624,595
150,250178,250062,116
151,252062,251502,560
152,252190,251655,535
153,252159,251623,536
154,251981,251405,576
155,250098,249997,101
156,252033,251501,532
157,252038,251502,536
158,252052,251475,577
159,250124,250023,101
160,250164,250063,101
161,250092,250016,76
162,252091,251504,587
163,252014,251410,604
164,251931,251395,536
165,250114,250013,101
166,250182,250066,116
167,252010,251451,559
168,250162,250061,101
169,250093,250017,76
170,252056,251493,563
171,250088,250012,76
172,250145,250069,76
173,251997,251434,563
174,250160,250069,91
175,250092,250016,76
176,250140,250064,76
177,250094,250018,76
178,250139,250063,76
179,251984,251421,563
180,251783,251220,563
181,250106,250005,101
182,250151,250060,91
183,250104,250028,76
184,251938,251343,595
185,250100,250024,76
186,251885,251323,562
187,250092,250016,76
188,251906,251347,559
189,251859,251272,587
190,251737,251187,550
191,250116,250015,101
192,250174,250073,101
193,251680,251117,563
194,251751,251179,572
195,251717,251141,576
196,251717,251181,536
197,251673,251137,536
198,250182,250066,116
199,251538,251002,536
200,251737,251192,545
201,250123,250022,101
202,251692,251156,536
203,250118,250017,101
204,250172,250071,101
205,251686,251123,563
206,251762,251178,584
207,250111,250010,101
208,250192,250091,101
209,251682,251119,563
210,250163,250062,101
211,251705,251142,563
212,251609,251073,536
213,251642,251110,532
214,251737,251188,549
215,250106,250005,101
216,251727,251175,552
217,250122,250021,101
218,250164,250063,101
219,251737,251142,595
220,250170,250069,101
221,251692,251133,559
222,250179,250063,116
223,250079,250003,76
224,251719,251156,563
225,250102,250026,76
226,251787,251192,595
227,251694,251134,560
228,251598,251062,536
229,250117,250016,101
230,251775,251187,588
231,251527,250991,536
232,251729,251197,532
233,250111,250010,101
234,250176,250075,101
235,250092,250016,76
236,250140,250064,76
237,251689,251127,562
238,251789,251186,603
239,251694,251126,568
240,250172,250071,101
241,251669,251134,535
242,251731,251161,570
243,251708,251136,572
244,251715,251179,536
245,250121,250020,101
246,251784,251196,588
247,251677,251141,536
248,251709,251177,532
249,251543,251013,530
250,250163,250062,101
251,250123,250022,101
252,251772,251187,585
253,250123,250022,101
254,250148,250072,76
255,250139,250063,76
256,250079,250003,76
257,250146,250070,76
258,252513,251950,563
259,250139,250063,76
260,252518,251940,578
261,250136,250060,76
262,252389,251826,563
263,250139,250063,76
264,250079,250003,76
265,250145,250069,76
266,252506,251909,597
267,250151,250075,76
268,250107,250016,91
269,252535,251976,559
270,250093,250017,76
271,250139,250063,76
272,252234,251646,588
273,252369,251809,560
274,250111,250010,101
275,252382,251819,563
276,250135,250019,116
277,252354,251791,563
278,250121,250020,101
279,252416,251827,589
280,252225,251671,554
281,252357,251821,536
282,252318,251758,560
283,252403,251835,568
284,252132,251548,584
285,252396,251860,536
286,252087,251535,552
287,252324,251788,536
288,252048,251476,572
289,252214,251646,568
290,251992,251439,553
291,250168,250067,101
292,250128,250012,116
293,250155,250079,76
294,251870,251311,559
295,252041,251481,560
296,250118,250017,101
297,251948,251385,563
298,251989,251453,536
299,250165,250064,101
300,252041,251453,588
301,252032,251499,533
302,250119,250018,101
303,251705,251169,536
304,251892,251356,536
305,250172,250071,101
306,252001,251465,536
307,252047,251515,532
308,250121,250005,116
309,250182,250081,101
310,252031,251468,563
311,251917,251381,536
312,250121,250020,101
313,252029,251493,536
314,251827,251295,532
315,251857,251321,536
316,251796,251246,550
317,250170,250069,101
318,251843,251307,536
319,250164,250063,101
320,251860,251284,576
321,250166,250065,101
322,251803,251267,536
323,250164,250063,101
324,250125,250009,116
325,251784,251221,563
326,251825,251290,535
327,251886,251334,552
328,251716,251183,533
329,250162,250061,101
