bit_position,bit_interval,receiver_interval,sender_interval
0,252427,251686,741
1,252375,251789,586
2,249888,249787,101
3,252144,251576,568
4,251933,251397,536
5,249928,249827,101
6,251832,251299,533
7,251925,251389,536
8,252046,251432,614
9,249921,249820,101
10,249888,249787,101
11,252038,251451,587
12,251927,251394,533
13,249931,249830,101
14,249924,249823,101
15,249865,249789,76
16,252024,251422,602
17,251908,251321,587
18,249892,249791,101
19,249911,249835,76
20,249883,249807,76
21,251768,251205,563
22,249895,249819,76
23,251855,251270,585
24,249917,249826,91
25,249894,249818,76
26,249876,249800,76
27,249915,249839,76
28,249881,249805,76
29,252015,251452,563
30,251985,251422,563
31,251899,251362,537
32,251989,251439,550
33,251918,251382,536
34,249899,249798,101
35,251982,251446,536
36,249908,249807,101
37,251880,251308,572
38,251959,251405,554
39,251949,251413,536
40,251970,251404,566
41,249910,249809,101
42,251833,251300,533
43,249931,249830,101
44,249897,249796,101
45,249907,249831,76
46,251853,251268,585
47,249870,249794,76
48,249913,249822,91
49,251784,251221,563
50,251733,251130,603
51,249929,249828,101
52,249880,249804,76
53,251866,251263,603
54,249889,249813,76
55,249872,249796,76
56,251609,251035,574
57,251731,251128,603
58,249898,249797,101
59,251820,251260,560
60,251768,251233,535
61,249933,249832,101
62,251803,251243,560
63,249897,249796,101
64,249937,249821,116
65,251807,251228,579
66,251602,251058,544
67,249928,249827,101
68,249908,249807,101
69,249904,249828,76
70,251667,251088,579
71,249869,249793,76
72,249909,249818,91
73,251573,250986,587
74,249870,249794,76
75,251580,250976,604
76,249885,249809,76
77,251684,251121,563
78,251633,251073,560
79,249899,249798,101
80,251683,251105,578
81,251618,251082,536
82,249899,249798,101
83,249920,249819,101
84,251674,251079,595
85,251629,251094,535
86,251614,251081,533
87,249901,249800,101
88,249934,249818,116
89,249893,249817,76
90,249872,249796,76
91,249895,249819,76
92,249887,249811,76
93,251693,251105,588
94,251645,251086,559
95,249900,249799,101
96,249907,249816,91
97,251680,251076,604
98,251658,251081,577
99,251545,250991,554
100,251616,251080,536
101,249930,249829,101
102,249918,249817,101
103,249874,249798,76
104,251557,250982,575
105,249894,249818,76
106,251636,251073,563
107,251664,251101,563
108,249915,249814,101
109,251650,251091,559
110,251609,251073,536
111,249897,249796,101
112,249929,249813,116
113,249896,249820,76
114,251645,251082,563
115,251679,251116,563
116,249912,249811,101
117,251438,250875,563
118,249919,249818,101
119,251600,251040,560
120,251478,250928,550
121,251493,250957,536
122,251424,250892,532
123,249931,249830,101
124,251386,250814,572
125,251467,250932,535
126,249919,249818,101
127,249953,249852,101
128,249872,249796,76
129,249918,249842,76
130,251993,251430,563
131,252128,251531,597
132,249952,249851,101
133,251972,251375,597
134,252017,251451,566
135,251950,251414,536
136,252106,251538,568
137,252127,251591,536
138,249894,249793,101
139,249891,249790,101
140,249927,249851,76
141,249872,249796,76
142,252185,251593,592
143,251982,251423,559
144,251845,251275,570
145,251964,251432,532
146,251946,251389,557
147,249889,249788,101
148,251833,251279,554
149,251590,251054,536
150,249954,249838,116
151,251619,251078,541
152,249897,249796,101
153,251708,251132,576
154,251621,251065,556
155,249888,249787,101
156,249953,249852,101
157,249874,249798,76
158,249939,249848,91
159,249875,249799,76
160,251681,251078,603
161,249932,249856,76
162,251627,251064,563
163,251646,251061,585
164,249961,249860,101
165,251664,251060,604
166,249959,249843,116
167,249875,249799,76
168,251639,251076,563
169,249932,249856,76
170,249866,249790,76
171,251536,250973,563
172,249933,249857,76
173,251670,251073,597
174,251731,251113,618
175,249903,249802,101
176,251668,251081,587
177,249954,249853,101
178,249870,249794,76
179,249878,249802,76
180,251742,251138,604
181,251639,251076,563
182,249966,249850,116
183,249872,249796,76
184,251628,251066,562
185,251704,251117,587
186,251497,250965,532
187,249895,249794,101
188,249962,249861,101
189,251469,250906,563
190,249959,249843,116
191,249870,249794,76
192,251491,250928,563
193,251516,250953,563
194,251454,250884,570
195,251469,250933,536
196,249950,249849,101
197,249890,249789,101
198,251536,250961,575
199,249896,249795,101
200,249870,249794,76
201,251524,250965,559
202,249853,249777,76
203,251246,250649,597
204,251375,250812,563
205,251276,250744,532
206,249963,249847,116
207,251313,250737,576
208,249893,249792,101
209,249951,249850,101
210,249854,249778,76
211,251356,250752,604
212,249921,249845,76
213,249871,249795,76
214,249932,249841,91
215,251316,250712,604
216,251358,250761,597
217,251224,250652,572
218,251125,250580,545
219,251164,250612,552
220,251203,250649,554
221,249891,249790,101
222,251203,250653,550
223,249884,249783,101
224,249894,249793,101
225,249927,249851,76
226,249864,249788,76
227,249871,249795,76
228,249916,249840,76
229,249872,249796,76
230,249934,249843,91
231,250993,250430,563
232,249878,249802,76
233,251048,250485,563
234,249864,249788,76
235,250984,250421,563
236,249916,249840,76
237,249873,249797,76
238,249934,249843,91
239,249872,249796,76
240,249874,249798,76
241,249921,249845,76
242,250987,250424,563
243,249872,249796,76
244,251046,250483,563
245,250866,250307,559
246,251011,250461,550
247,250810,250274,536
248,250706,250173,533
249,250849,250316,533
250,249890,249789,101
251,249897,249796,101
252,250900,250337,563
253,249901,249800,101
254,252319,251756,563
255,249910,249809,101
256,252310,251748,562
257,249893,249792,101
258,249884,249808,76
259,249905,249829,76
260,252275,251698,577
261,249925,249849,76
262,249872,249796,76
263,252322,251719,603
264,252343,251764,579
265,252234,251698,536
266,252246,251714,532
267,249930,249829,101
268,252298,251732,566
269,249950,249849,101
270,249895,249794,101
271,249886,249810,76
272,249897,249821,76
273,249870,249794,76
274,252314,251717,597
275,249911,249835,76
276,249885,249794,91
277,252334,251772,562
278,252315,251727,588
279,252147,251615,532
280,252250,251714,536
281,252531,251955,576
282,252515,251971,544
283,252449,251913,536
284,250151,250035,116
285,252370,251838,532
286,252545,251993,552
287,252509,251953,556
288,250200,250099,101
289,252527,251959,568
290,252520,251966,554
291,252561,252025,536
292,250149,250033,116
293,252574,252006,568
294,250169,250068,101
295,250151,250050,101
296,250177,250101,76
297,250120,250044,76
298,252441,251862,579
299,252328,251768,560
300,252350,251782,568
301,250186,250085,101
302,252370,251818,552
303,250157,250056,101
304,250206,250105,101
305,252228,251669,559
306,250146,250045,101
307,250189,250113,76
308,250122,250031,91
309,250167,250091,76
310,252383,251821,562
311,250124,250048,76
312,250184,250108,76
313,250119,250043,76
314,252253,251666,587
315,250194,250118,76
316,252393,251803,590
317,252398,251839,559
318,252263,251731,532
319,250146,250045,101
320,250204,250103,101
321,250115,250039,76
322,250123,250047,76
323,250191,250115,76
324,250120,250029,91
325,252335,251742,593
326,250144,250068,76
327,252243,251680,563
328,250182,250106,76
329,250116,250040,76
330,252400,251819,581
331,250195,250119,76
332,252197,251619,578
333,250176,250100,76
334,252182,251619,563
335,250119,250043,76
336,252225,251662,563
337,250121,250045,76
338,250128,250052,76
339,252222,251619,603
340,252230,251618,612
341,250196,250095,101
342,252023,251442,581
343,252067,251497,570
344,251972,251440,532
345,252007,251471,536
346,252071,251499,572
347,250211,250110,101
348,250138,250022,116
349,252133,251530,603
350,252062,251526,536
351,252012,251479,533
352,252116,251544,572
353,250131,250030,101
354,252047,251491,556
355,252083,251511,572
356,252045,251463,582
357,251916,251380,536
358,250167,250066,101
359,251906,251334,572
360,250203,250102,101
361,251844,251308,536
362,251743,251211,532
363,250209,250108,101
364,250147,250031,116
365,250172,250096,76
366,251902,251342,560
367,250126,250050,76
368,251841,251281,560
369,251759,251172,587
370,250150,250049,101
371,250185,250109,76
372,251901,251289,612
373,251917,251354,563
374,250157,250056,101
375,251823,251228,595
376,250199,250098,101
377,251904,251307,597
378,250149,250048,101
379,251924,251361,563
380,250147,250031,116
381,252345,251742,603
382,252137,251601,536
383,252208,251656,552
384,249892,249791,101
385,249898,249797,101
386,249934,249843,91
387,249888,249812,76
388,252336,251755,581
389,252272,251709,563
390,252260,251708,552
391,249941,249840,101
392,249890,249789,101
393,249873,249797,76
394,249927,249836,91
395,249883,249807,76
396,249912,249836,76
397,249857,249781,76
398,252162,251603,559
399,249916,249840,76
400,249866,249790,76
401,252184,251605,579
402,252323,251745,578
403,249904,249803,101
404,249904,249828,76
405,249861,249785,76
406,252176,251591,585
407,252301,251738,563
408,249900,249799,101
409,249871,249795,76
410,249921,249830,91
411,249883,249807,76
412,249908,249832,76
413,252104,251541,563
414,251948,251386,562
415,251973,251441,532
416,249900,249799,101
417,251947,251411,536
418,249945,249829,116
419,251789,251253,536
420,251793,251260,533
421,249897,249796,101
422,251815,251259,556
423,249933,249832,101
424,249900,249799,101
425,251669,251066,603
426,251666,251098,568
427,251655,251085,570
428,249933,249832,101
429,249895,249794,101
430,249884,249808,76
431,249905,249829,76
432,249876,249800,76
433,251649,251086,563
434,249931,249840,91
435,251639,251079,560
436,249906,249830,76
437,251641,251081,560
438,251641,251078,563
439,249932,249831,101
440,249876,249800,76
441,251518,250931,587
442,251590,251013,577
443,251626,251091,535
444,249922,249821,101
445,249897,249796,101
446,251691,251096,595
447,249936,249835,101
448,249881,249805,76
449,249870,249794,76
450,249931,249840,91
451,251669,251106,563
452,251549,250990,559
453,251612,251076,536
454,249908,249807,101
455,249941,249840,101
456,249879,249803,76
457,249866,249790,76
458,249931,249840,91
459,251674,251084,590
460,251613,251010,603
461,249901,249800,101
462,249885,249809,76
463,249918,249842,76
464,251658,251071,587
465,251649,251054,595
466,249958,249842,116
467,251491,250912,579
468,249932,249831,101
469,249877,249801,76
470,251529,250926,603
471,251521,250958,563
472,251471,250903,568
473,251334,250801,533
474,249964,249848,116
475,249912,249811,101
476,249909,249833,76
477,249874,249798,76
478,251492,250929,563
479,249917,249841,76
480,249875,249799,76
481,249867,249791,76
482,251536,250940,596
483,251524,250927,597
484,249935,249834,101
485,251488,250925,563
486,251713,251181,532
487,251780,251244,536
488,251689,251153,536
489,250142,250041,101
490,250232,250116,116
491,250119,250043,76
492,251754,251191,563
493,250138,250062,76
494,250121,250045,76
495,250192,250116,76
496,251719,251156,563
497,251704,251141,563
498,250229,250113,116
499,250115,250039,76
500,251748,251189,559
501,250138,250062,76
502,250126,250050,76
503,250189,250113,76
504,250112,250036,76
505,251732,251169,563
506,250197,250106,91
507,250117,250041,76
508,252348,251785,563
509,252299,251714,585
510,249943,249842,101
511,249831,249794,37
