bit_position,bit_interval,receiver_interval,sender_interval
0,252860,252119,741
1,250333,250222,111
2,252435,251883,552
3,250266,250165,101
4,252519,251983,536
5,252612,252077,535
6,250250,250149,101
7,252523,251955,568
8,252504,251922,582
9,252728,252192,536
10,250721,250620,101
11,250716,250615,101
12,252775,252194,581
13,252704,252168,536
14,250684,250583,101
15,252727,252175,552
16,252592,252010,582
17,250714,250613,101
18,252408,251872,536
19,252461,251893,568
20,250704,250603,101
21,250687,250586,101
22,252471,251874,597
23,252402,251848,554
24,252344,251778,566
25,252409,251873,536
26,250714,250613,101
27,250717,250616,101
28,250699,250623,76
29,250662,250586,76
30,252407,251818,589
31,252424,251861,563
32,250724,250608,116
33,252385,251782,603
34,252466,251934,532
35,252346,251776,570
36,252400,251864,536
37,252433,251863,570
38,252383,251838,545
39,252234,251693,541
40,252270,251720,550
41,250708,250607,101
42,250706,250605,101
43,250697,250621,76
44,250670,250594,76
45,252265,251706,559
46,252263,251700,563
47,252158,251586,572
48,250715,250599,116
49,252279,251746,533
50,250715,250614,101
51,252273,251738,535
52,250701,250600,101
53,250691,250590,101
54,250645,250569,76
55,250684,250608,76
56,252326,251732,594
57,250678,250602,76
58,250674,250598,76
59,250697,250621,76
60,252291,251728,563
61,252272,251712,560
62,252133,251581,552
63,250695,250594,101
64,250705,250589,116
65,250688,250612,76
66,250693,250617,76
67,252297,251734,563
68,250681,250605,76
69,250664,250588,76
70,252220,251658,562
71,250685,250609,76
72,252283,251705,578
73,250689,250613,76
74,250691,250615,76
75,252306,251718,588
76,252274,251711,563
77,252237,251701,536
78,250650,250549,101
79,252279,251743,536
80,252273,251723,550
81,250714,250613,101
82,252189,251616,573
83,252308,251756,552
84,252262,251726,536
85,250687,250586,101
86,250654,250553,101
87,252126,251529,597
88,252096,251550,546
89,252330,251754,576
90,252267,251732,535
91,252275,251743,532
92,252099,251566,533
93,250687,250586,101
94,252208,251672,536
95,252284,251748,536
96,252260,251713,547
97,250715,250614,101
98,252287,251715,572
99,252267,251731,536
100,252287,251719,568
101,250694,250593,101
102,252240,251688,552
103,252263,251729,534
104,252275,251725,550
105,250715,250614,101
106,250714,250613,101
107,252333,251738,595
108,252083,251547,536
109,250673,250572,101
110,251943,251407,536
111,250714,250613,101
112,252106,251557,549
113,252107,251572,535
114,250713,250612,101
115,250706,250605,101
116,250699,250623,76
117,251994,251425,569
118,250635,250559,76
119,250689,250613,76
120,250704,250613,91
121,252133,251570,563
122,252134,251574,560
123,252120,251548,572
124,252029,251457,572
125,250662,250561,101
126,250668,250567,101
127,252655,252096,559
128,250282,250181,101
129,252649,252086,563
130,250285,250184,101
131,252549,251986,563
132,250282,250181,101
133,250249,250173,76
134,250247,250156,91
135,252680,252093,587
136,252639,252079,560
137,250274,250173,101
138,250259,250183,76
139,252627,252058,569
140,250241,250165,76
141,250265,250189,76
142,252593,251939,654
143,250204,250128,76
144,252667,252072,595
145,252642,252063,579
146,250267,250166,101
147,252658,252095,563
148,250284,250183,101
149,252511,251951,560
150,250297,250181,116
151,252598,252035,563
152,252659,252089,570
153,250274,250173,101
154,252511,251979,532
155,250273,250172,101
156,250286,250185,101
157,252672,252077,595
158,252541,251953,588
159,250244,250143,101
160,252478,251908,570
161,252468,251908,560
162,250282,250181,101
163,252373,251829,544
164,250285,250184,101
165,252470,251934,536
166,252503,251929,574
167,250227,250126,101
168,250273,250172,101
169,250252,250176,76
170,250257,250181,76
171,252416,251813,603
172,252342,251779,563
173,252167,251595,572
174,250298,250182,116
175,250227,250126,101
176,250252,250176,76
177,252074,251511,563
178,252086,251491,595
179,252166,251612,554
180,250282,250181,101
181,250263,250162,101
182,250275,250184,91
183,252147,251584,563
184,252162,251599,563
185,252147,251615,532
186,252021,251485,536
187,250283,250182,101
188,252159,251623,536
189,250269,250168,101
190,252055,251508,547
191,252114,251569,545
192,250282,250181,101
193,250276,250175,101
194,250246,250170,76
195,250242,250166,76
196,250265,250189,76
197,250249,250173,76
198,252091,251472,619
199,250194,250118,76
200,250259,250183,76
201,251991,251432,559
202,250256,250180,76
203,250261,250185,76
204,251907,251314,593
205,251756,251168,588
206,251718,251168,550
207,250200,250099,101
208,250299,250198,101
209,250249,250173,76
210,251864,251303,561
211,251880,251301,579
212,251816,251280,536
213,250274,250173,101
214,250276,250160,116
215,251716,251157,559
216,250284,250183,101
217,251848,251285,563
218,250282,250181,101
219,251863,251300,563
220,250287,250186,101
221,250250,250174,76
222,251836,251258,578
223,251863,251259,604
224,251720,251184,536
225,250270,250169,101
226,250306,250205,101
227,250257,250181,76
228,251869,251310,559
229,251866,251278,588
230,250276,250160,116
231,251858,251261,597
232,250320,250219,101
233,250243,250167,76
234,250258,250182,76
235,250257,250181,76
236,250252,250176,76
237,251845,251282,563
238,250242,250151,91
239,251807,251244,563
240,251754,251191,563
241,251834,251274,560
242,250283,250182,101
243,250282,250181,101
244,250249,250173,76
245,251875,251315,560
246,251703,251125,578
247,250248,250147,101
248,250257,250181,76
249,250240,250164,76
250,250260,250184,76
251,250256,250180,76
252,251851,251288,563
253,250251,250175,76
254,250269,250193,76
255,252570,251973,597
256,250237,250161,76
257,252417,251856,561
258,250257,250181,76
259,250249,250173,76
260,250275,250184,91
261,250246,250170,76
262,250213,250137,76
263,252654,252092,562
264,252662,252065,597
265,250288,250187,101
266,250255,250179,76
267,250249,250173,76
268,250272,250181,91
269,252659,252082,577
270,250222,250146,76
271,250249,250173,76
272,252677,252089,588
273,250259,250183,76
274,250251,250175,76
275,250233,250157,76
276,250280,250189,91
277,250252,250176,76
278,252652,252048,604
279,250249,250173,76
280,250246,250170,76
281,250243,250167,76
282,252647,252087,560
283,250250,250174,76
284,250272,250181,91
285,252633,252070,563
286,252480,251917,563
287,252622,252087,535
288,250271,250170,101
289,252520,251984,536
290,250273,250172,101
291,250278,250177,101
292,250272,250181,91
293,250257,250181,76
294,252625,252044,581
295,252653,252084,569
296,250272,250171,101
297,252544,251971,573
298,250282,250181,101
299,250252,250176,76
300,252578,251975,603
301,252630,252070,560
302,250238,250137,101
303,250240,250164,76
304,250251,250175,76
305,252586,251989,597
306,250297,250221,76
307,250253,250177,76
308,252542,251964,578
309,250257,250181,76
310,250213,250137,76
311,250244,250168,76
312,250242,250166,76
313,252650,252087,563
314,250257,250181,76
315,252300,251707,593
316,250261,250170,91
317,250259,250183,76
318,252301,251738,563
319,252326,251763,563
320,250274,250173,101
321,250251,250175,76
322,252336,251773,563
323,252321,251758,563
324,250292,250176,116
325,252356,251785,571
326,252268,251723,545
327,250274,250173,101
328,252325,251758,567
329,252101,251533,568
330,250283,250182,101
331,252343,251789,554
332,252304,251748,556
333,252296,251761,535
334,252240,251703,537
335,250274,250173,101
336,252170,251634,536
337,250281,250180,101
338,250284,250183,101
339,252373,251769,604
340,252301,251751,550
341,250283,250182,101
342,252274,251714,560
343,252200,251667,533
344,252276,251743,533
345,252328,251790,538
346,252312,251779,533
347,252172,251602,570
348,252167,251599,568
349,252151,251616,535
350,252100,251565,535
351,252120,251588,532
352,252119,251583,536
353,252029,251473,556
354,251991,251455,536
355,251829,251296,533
356,250297,250181,116
357,251996,251460,536
358,251932,251396,536
359,251837,251304,533
360,250269,250168,101
361,250298,250197,101
362,250257,250181,76
363,251835,251272,563
364,251911,251301,610
365,250282,250181,101
366,250213,250137,76
367,251845,251286,559
368,251865,251302,563
369,251661,251129,532
370,251668,251132,536
371,250269,250168,101
372,251692,251145,547
373,250322,250221,101
374,251520,250984,536
375,250276,250175,101
376,251654,251118,536
377,251686,251114,572
378,251666,251130,536
379,250261,250160,101
380,251735,251145,590
381,250305,250204,101
382,252646,252083,563
383,250282,250181,101
384,252669,252072,597
385,252590,252057,533
386,250282,250166,116
387,250298,250197,101
388,250257,250181,76
389,250210,250134,76
390,252574,251991,583
391,250257,250181,76
392,250257,250181,76
393,250229,250153,76
394,250275,250184,91
395,250256,250180,76
396,252606,252009,597
397,250207,250131,76
398,250246,250170,76
399,250272,250196,76
400,250257,250181,76
401,250238,250162,76
402,252555,251977,578
403,252537,251958,579
404,250282,250181,101
405,252605,252042,563
406,250273,250172,101
407,252535,251973,562
408,252619,252075,544
409,252630,252060,570
410,250300,250184,116
411,250311,250210,101
412,250257,250181,76
413,252617,252030,587
414,252482,251919,563
415,250293,250192,101
416,250255,250179,76
417,252361,251782,579
418,252357,251780,577
419,250271,250170,101
420,252483,251904,579
421,252008,251440,568
422,252183,251615,568
423,251975,251439,536
424,251968,251432,536
425,250263,250162,101
426,250297,250181,116
427,252023,251460,563
428,250286,250185,101
429,250205,250129,76
430,252017,251455,562
431,252013,251450,563
432,252010,251438,572
433,251850,251317,533
434,250297,250181,116
435,251972,251436,536
436,250294,250193,101
437,250224,250123,101
438,250257,250181,76
439,252064,251460,604
440,252001,251439,562
441,251999,251443,556
442,251896,251346,550
443,250282,250181,101
444,251876,251341,535
445,250219,250118,101
446,251997,251446,551
447,251952,251420,532
448,252015,251480,535
449,250266,250165,101
450,250295,250179,116
451,252001,251438,563
452,252016,251460,556
453,250221,250120,101
454,250284,250183,101
