bit_position,bit_interval,receiver_interval,sender_interval
0,250385,250218,167
1,252816,252126,690
2,252473,251938,535
3,250282,250181,101
4,250274,250173,101
5,250240,250164,76
6,250231,250155,76
7,252499,251902,597
8,252261,251657,604
9,250283,250182,101
10,250248,250172,76
11,252322,251759,563
12,252347,251784,563
13,252171,251615,556
14,250254,250153,101
15,250250,250149,101
16,250264,250173,91
17,252198,251594,604
18,250260,250184,76
19,252059,251496,563
20,250247,250171,76
21,250257,250181,76
22,252188,251601,587
23,250225,250149,76
24,250266,250175,91
25,250257,250181,76
26,250261,250185,76
27,252200,251603,597
28,250243,250167,76
29,252164,251605,559
30,250235,250159,76
31,252167,251604,563
32,252221,251634,587
33,250282,250181,101
34,252219,251630,589
35,250285,250184,101
36,252085,251506,579
37,252166,251630,536
38,252122,251590,532
39,250256,250155,101
40,250294,250178,116
41,252193,251630,563
42,250312,250211,101
43,250257,250181,76
44,252158,251595,563
45,250260,250184,76
46,250223,250147,76
47,252193,251605,588
48,250260,250169,91
49,252072,251509,563
50,250256,250180,76
51,250257,250181,76
52,250244,250168,76
53,250261,250185,76
54,250215,250139,76
55,252173,251594,579
56,252128,251516,612
57,250271,250170,101
58,252030,251427,603
59,250282,250181,101
60,252043,251439,604
61,252030,251462,568
62,251967,251431,536
63,250263,250162,101
64,251972,251425,547
65,251983,251448,535
66,250274,250173,101
67,252011,251475,536
68,252018,251450,568
69,250285,250184,101
70,251968,251412,556
71,250262,250161,101
72,250277,250161,116
73,252019,251460,559
74,250280,250179,101
75,251916,251353,563
76,250274,250173,101
77,252015,251451,564
78,251970,251402,568
79,250275,250174,101
80,250289,250173,116
81,250257,250181,76
82,252010,251447,563
83,252004,251441,563
84,251977,251441,536
85,251893,251357,536
86,251987,251443,544
87,250269,250168,101
88,251974,251424,550
89,251997,251461,536
90,250282,250181,101
91,250283,250182,101
92,250251,250175,76
93,250263,250187,76
94,250223,250147,76
95,250239,250163,76
96,252020,251443,577
97,250276,250200,76
98,250257,250181,76
99,252052,251465,587
100,252028,251465,563
101,251805,251235,570
102,250248,250147,101
103,251891,251358,533
104,251998,251451,547
105,250281,250180,101
106,251991,251455,536
107,252000,251446,554
108,251975,251439,536
109,251966,251431,535
110,251958,251422,536
111,250259,250158,101
112,250280,250164,116
113,251869,251306,563
114,250281,250180,101
115,250251,250175,76
116,251856,251293,563
117,251861,251280,581
