bit_position,bit_interval,receiver_interval,sender_interval
0,252207,251466,741
1,252065,251494,571
2,249609,249508,101
3,249622,249521,101
4,249590,249514,76
5,249592,249516,76
6,249600,249524,76
7,251898,251329,569
8,252020,251416,604
9,249623,249522,101
10,249588,249512,76
11,251894,251329,565
12,249588,249512,76
13,251860,251300,560
14,252029,251442,587
15,249611,249510,101
16,251908,251289,619
17,251957,251421,536
18,251875,251325,550
19,251980,251442,538
20,251831,251261,570
21,251806,251274,532
22,251850,251280,570
23,249611,249510,101
24,251801,251251,550
25,249621,249520,101
26,251854,251278,576
27,249625,249524,101
28,249608,249507,101
29,249597,249521,76
30,249597,249521,76
31,249588,249512,76
32,251841,251263,578
33,249597,249521,76
34,251861,251258,603
35,251854,251250,604
36,251818,251248,570
37,251795,251263,532
38,251703,251167,536
39,251695,251159,536
40,251846,251278,568
41,251803,251249,554
42,251813,251278,535
43,251829,251293,536
44,251795,251262,533
45,251686,251154,532
46,251702,251150,552
47,251613,251077,536
48,251438,250889,549
49,251657,251113,544
50,249623,249522,101
51,251674,251118,556
52,251672,251104,568
53,251677,251121,556
54,249619,249518,101
55,249622,249521,101
56,249606,249515,91
57,251704,251118,586
58,249598,249522,76
59,251571,250990,581
60,251671,251108,563
61,251694,251134,560
62,249614,249513,101
63,249622,249521,101
64,249607,249516,91
65,249586,249510,76
66,251679,251116,563
67,249594,249518,76
68,251713,251126,587
69,251685,251122,563
70,249611,249510,101
71,249598,249522,76
72,249604,249513,91
73,249597,249521,76
74,249599,249523,76
75,249593,249517,76
76,251361,250802,559
77,251344,250781,563
78,251218,250682,536
79,249624,249523,101
80,251330,250782,548
81,249622,249521,101
82,249627,249526,101
83,251363,250784,579
84,249615,249514,101
85,249597,249521,76
86,249592,249516,76
87,249601,249525,76
88,249600,249509,91
89,249597,249521,76
90,251204,250642,562
91,251072,250509,563
92,249616,249515,101
93,251252,250657,595
94,249622,249521,101
95,251202,250639,563
96,249623,249507,116
97,251247,250650,597
98,249622,249521,101
99,249592,249516,76
100,251195,250635,560
101,249596,249520,76
102,251216,250637,579
103,249601,249525,76
104,249591,249500,91
105,251252,250649,603
106,249602,249526,76
107,251215,250652,563
108,249595,249519,76
109,251172,250612,560
110,249597,249521,76
111,249597,249521,76
112,251191,250613,578
113,251233,250646,587
114,249621,249520,101
115,251212,250649,563
116,249616,249515,101
117,251178,250615,563
118,249623,249522,101
119,251222,250651,571
120,251186,250637,549
121,249626,249525,101
122,249620,249519,101
123,249597,249521,76
124,249589,249513,76
125,251189,250629,560
126,249598,249522,76
127,251891,251328,563
128,251767,251186,581
129,249616,249515,101
130,249597,249521,76
131,251834,251272,562
132,251695,251091,604
133,251643,251108,535
134,251556,250999,557
135,251516,250980,536
136,249616,249515,101
137,251365,250829,536
138,249623,249522,101
139,249627,249526,101
140,249589,249513,76
141,249601,249525,76
142,251520,250942,578
143,251303,250740,563
144,251347,250787,560
145,249611,249510,101
146,249623,249522,101
147,251195,250636,559
148,249614,249513,101
149,251120,250532,588
150,251163,250617,546
151,249622,249521,101
152,249617,249516,101
153,251243,250646,597
154,251175,250642,533
155,251179,250643,536
156,251067,250531,536
157,251160,250624,536
158,249624,249508,116
159,251157,250622,535
160,251068,250532,536
161,251201,250625,576
162,251020,250484,536
163,251002,250466,536
164,249614,249513,101
165,249625,249524,101
166,251051,250473,578
167,249632,249531,101
168,251036,250473,563
169,251018,250485,533
170,250884,250308,576
171,249609,249508,101
172,250854,250318,536
173,250880,250308,572
174,249637,249521,116
175,250864,250328,536
176,249608,249507,101
177,249622,249521,101
178,249599,249523,76
179,250856,250293,563
180,249597,249521,76
181,250884,250321,563
182,249612,249521,91
183,250888,250328,560
184,249576,249500,76
185,250820,250217,603
186,249597,249521,76
187,250895,250332,563
188,249594,249518,76
189,250879,250316,563
190,250896,250318,578
191,250857,250321,536
192,250838,250286,552
193,250872,250336,536
194,250858,250325,533
195,249622,249521,101
196,249618,249517,101
197,249584,249508,76
198,249612,249521,91
199,250866,250303,563
200,250761,250198,563
201,249627,249526,101
202,249594,249518,76
203,250883,250320,563
204,250874,250311,563
205,249611,249510,101
206,250900,250322,578
207,249622,249521,101
208,249589,249513,76
209,250885,250322,563
210,249589,249513,76
211,250886,250323,563
212,249589,249513,76
213,249590,249514,76
214,249615,249524,91
215,250870,250307,563
216,249589,249513,76
217,250885,250297,588
218,249586,249510,76
219,250879,250320,559
220,250913,250325,588
221,250595,250060,535
222,250882,250332,550
223,249616,249515,101
224,250841,250309,532
225,249622,249521,101
226,250629,250093,536
227,250732,250196,536
228,249613,249512,101
229,250788,250221,567
230,249640,249524,116
231,250685,250149,536
232,249615,249514,101
233,249622,249521,101
234,249597,249521,76
235,250736,250173,563
236,250708,250145,563
237,250685,250149,536
238,250714,250168,546
239,250673,250141,532
240,250700,250164,536
241,249619,249518,101
242,249622,249521,101
243,250738,250178,560
244,250676,250140,536
245,250693,250157,536
246,250692,250143,549
247,249617,249516,101
248,249620,249519,101
249,249595,249519,76
250,250728,250167,561
251,249597,249521,76
252,249576,249500,76
253,250763,250164,599
254,249658,249582,76
255,251843,251280,563
256,251875,251278,597
257,249616,249515,101
258,249597,249521,76
259,249597,249521,76
260,251831,251257,574
261,251697,251120,577
262,251585,251033,552
263,251668,251132,536
264,249616,249515,101
265,251633,251089,544
266,249623,249522,101
267,251574,251039,535
268,249629,249513,116
269,249626,249525,101
270,249595,249519,76
271,249597,249521,76
272,249589,249513,76
273,251573,250994,579
274,251647,251084,563
275,251671,251117,554
276,249629,249513,116
277,249625,249524,101
278,249584,249508,76
279,251675,251112,563
280,251588,251001,587
281,249617,249516,101
282,251701,251139,562
283,251662,251102,560
284,251664,251114,550
285,249622,249521,101
286,249609,249508,101
287,249598,249522,76
288,249589,249513,76
289,251595,251032,563
290,249601,249525,76
291,249591,249515,76
292,251583,250971,612
